country,original_title,genre,avg_vote,votes,budget,worlwide_gross_income,year
USA,The Underground Comedy Movie,Comedy,2.2,2424,"$170,000.00",$856.00,1999
UK,The Tapes,Horror,3.2,481,"$100,000.00",$880.00,2011
Germany,In Her Line of Fire,Action,3.8,927,"$1,000,000.00",$884.00,2006
Germany,Julie Walking Home,Drama,6.3,932,"$5,000,000.00",$892.00,2002
South Africa,Beat the Drum,Drama,7.1,662,"$1,500,000.00",$895.00,2003
USA,How to Be a Serial Killer,Comedy,5.5,1978,"$2,000,000.00",$899.00,2008
USA,High Strung,Comedy,6.8,1922,"$300,000.00",$904.00,1992
UK,Jubilee,Comedy,6.1,2821,"$200,000.00",$923.00,1978
Denmark,Fuglene over sundet,Drama,6.2,621,"$7,045,000.00",$926.00,2016
Singapore,4:30,Drama,6.7,494,"$400,000.00",$935.00,2005
Netherlands,The Bird Can't Fly,Drama,6.5,188,"$2,000,000.00",$938.00,2007
Germany,Shanghai Baby,Drama,4.4,167,"$7,500,000.00",$954.00,2007
USA,Midnight Son,Horror,5.9,1695,"$3,250,000.00",$973.00,2011
USA,The Jimmy Show,Comedy,5.2,525,"$1,500,000.00","$1,000.00",2001
India,Nannaku Prematho,Action,7.6,8672,"$500,000,000.00","$1,003.00",2016
USA,Madam Satan,Comedy,6.5,838,"$980,000.00","$1,005.00",1930
Denmark,En frygtelig kvinde,Drama,6.6,1614,"$3,900,000.00","$1,008.00",2017
UK,The Manson Family Massacre,Crime,3.2,245,"$1,000,000.00","$1,047.00",2019
Italy,Banat - Il viaggio,Drama,5.8,126,"$1,200,000.00","$1,074.00",2015
USA,The Transcendents,Music,9.2,1450,"$90,000.00","$1,090.00",2018
Hungary,Csak szex és más semmi,Comedy,6.3,2938,"$1,100,000.00","$1,112.00",2005
UK,Urban Hymn,Crime,6.5,363,"$3,000,000.00","$1,115.00",2015
Canada,Yellowknife,Drama,6.6,180,"$3,200,000.00","$1,128.00",2002
India,Half Ticket,Drama,7.8,185,"$20,000,000.00","$1,135.00",2016
Turkey,Vicdan Agaci,Drama,5.4,310,"$500,000.00","$1,179.00",2016
UK,I Love My Mum,Comedy,4.6,286,"$2,000,000.00","$1,182.00",2018
Switzerland,Pinprick,Drama,5.1,299,"$130,000,000.00","$1,198.00",2009
UK,Four,Thriller,4.2,637,"$500,000.00","$1,198.00",2011
Turkey,Dead Horse Nebula,Drama,5.6,252,"$100,000.00","$1,233.00",2018
USA,The Maltese Falcon,Film-Noir,8,146815,"$375,000.00","$1,255.00",1941
USA,Exorcism,Horror,1.8,237,"$1,000,000.00","$1,303.00",2003
India,Hind Ka Napak Ko Jawab,Action,6.7,3977,"$5,000,000.00","$1,314.00",2017
Argentina,Breve historia del planeta verde,Adventure,5.7,177,"$425,406.00","$1,368.00",2019
China,Yin shi nan nü - Hao yuan you hao jin,Comedy,4.5,116,"$20,000,000.00","$1,377.00",2012
Australia,The Last Wave,Drama,7,8419,"$810,000.00","$1,382.00",1977
USA,Drool,Comedy,5.7,745,"$1,000,000.00","$1,403.00",2009
Serbia,Zona Zamfirova-drugi deo,Drama,4.6,340,"$4,500,000.00","$1,404.00",2017
UK,Habit,Horror,5.2,852,"$1,000,000.00","$1,426.00",2017
India,Kalyug,Action,6.5,2402,"$40,000,000.00","$1,435.00",2005
Argentina,Los decentes,Drama,5.9,387,"$250,000.00","$1,441.00",2016
UK,Demon Eye,Horror,3.3,428,"$250,000.00","$1,473.00",2019
USA,The Blood Bond,Action,3.2,227,"$2,000,000.00","$1,483.00",2010
Canada,Blackwoods,Drama,2.8,2091,"$3,000,000.00","$1,500.00",2001
USA,The Fly,Drama,7.1,20329,"$700,000.00","$1,501.00",1958
UK,Bad Day for the Cut,Action,6.5,5480,"$250,000.00","$1,510.00",2017
South Korea,Baramui paiteo,Action,7,3724,"$6,000,000.00","$1,518.00",2004
Japan,46-okunen no koi,Drama,6.7,1889,"$10,000,000.00","$1,520.00",2006
Canada,Unless,Drama,5.3,209,"$20,800,000.00","$1,527.00",2016
Canada,Rhymes for Young Ghouls,Crime,6.5,1097,"$1,500,000.00","$1,529.00",2013
Australia,The Tunnel,Horror,5.9,19103,"$135,000.00","$1,532.00",2011
USA,Easier with Practice,Drama,6.4,970,"$1,000,000.00","$1,558.00",2009
Israel,Next to Her,Drama,7.1,511,"$500,000.00","$1,575.00",2014
Netherlands,Links,Drama,6.1,119,"$200,000.00","$1,588.00",2008
USA,42nd Street,Comedy,7.4,10490,"$439,000.00","$1,600.00",1933
Denmark,Pusher,Crime,7.4,33653,"$6,000,000.00","$1,605.00",1996
Canada,Un dimanche à Kigali,Drama,7.3,634,"$7,000,000.00","$1,609.00",2006
USA,The Sticky Fingers of Time,Sci-Fi,6.1,424,"$250,000.00","$1,610.00",1997
USA,Frankenstein,Drama,7.8,63315,"$291,000.00","$1,626.00",1931
Germany,Eine Hand Voll Gras,Drama,6.5,218,"$7,000,000.00","$1,654.00",2000
USA,House of Usher,Horror,2.9,485,"$1,000,000.00","$1,677.00",2008
USA,Dystopia: 2013,Sci-Fi,2.7,110,"$150,000.00","$1,708.00",2012
Italy,Fellini - Satyricon,Drama,6.9,14570,"$3,000,000.00","$1,729.00",1969
Canada,Wilby Wonderful,Comedy,6.6,1488,"$2,500,000.00","$1,749.00",2004
Sweden,Made in YU,Drama,6.3,367,"$1,000,000.00","$1,754.00",2005
USA,Detention of the Dead,Action,4.5,2507,"$500,000.00","$1,777.00",2012
Taiwan,Ghosted,Drama,4.6,353,"$800,000.00","$1,780.00",2009
USA,The Canyon,Thriller,5.9,4046,"$10,000,000.00","$1,785.00",2009
USA,Invasion of the Body Snatchers,Drama,7.7,43866,"$417,000.00","$1,861.00",1956
France,Que le diable nous emporte,Drama,5.6,187,"$600,000.00","$1,869.00",2018
UK,In the Dark Half,Drama,5.4,493,"$300,000.00","$1,873.00",2012
Austria,Crash Test Dummies,Comedy,6.4,169,"$1,300,000.00","$1,875.00",2005
Dominican Republic,Veneno,Action,8.1,403,"$115,126,396.00","$1,897.00",2018
Mexico,Fando y Lis,Adventure,7,4873,"$100,000.00","$1,897.00",1968
France,20 nuits et un jour de pluie,Drama,4.1,148,"$2,060,000.00","$1,903.00",2006
USA,Mr. Smith Gets a Hustler,Crime,4.7,205,"$200,000.00","$1,915.00",2002
USA,Shuttle,Crime,5.7,5325,"$2,400,000.00","$1,925.00",2008
USA,Best Man Down,Comedy,6.4,8985,"$1,500,000.00","$1,938.00",2012
Israel,Kirot,Action,5.7,2391,"$3,000,000.00","$1,948.00",2009
Estonia,Püha Tõnu kiusamine,Drama,7.2,1184,"$983,081.00","$1,963.00",2009
USA,FAQs,Drama,5.8,488,"$250,000.00","$1,967.00",2005
Hungary,A vizsga,Drama,7.4,1539,"$380,000.00","$1,968.00",2011
Chile,La Casa Lobo,Animation,7.5,884,"$245,000.00","$1,970.00",2018
Germany,Errors of the Human Body,Drama,5.3,2167,"$1,500,000.00","$1,984.00",2012
Australia,Boxing Day,Crime,7.1,132,"$174,000.00","$1,985.00",2007
USA,The Watermelon Woman,Comedy,7,1466,"$300,000.00","$1,989.00",1996
USA,Enemies of Laughter,Comedy,5.5,166,"$2,500,000.00","$2,000.00",2000
USA,The Night of the Hunter,Crime,8,80215,"$795,000.00","$2,001.00",1955
Spain,Tercer grado,Action,5.8,230,"$500,000.00","$2,009.00",2015
USA,The Tenants,Crime,5.2,977,"$2,000,000.00","$2,010.00",2005
USA,The Bad and the Beautiful,Drama,7.8,12941,"$1,558,000.00","$2,025.00",1952
Poland,Zacma,Drama,5.6,167,"$4,000,000.00","$2,035.00",2016
Italy,Blanka,Drama,7,232,"$250,000.00","$2,042.00",2015
France,Blockbuster,Comedy,5.5,409,"$650,000.00","$2,044.00",2018
Bulgaria,Cat in the Wall,Drama,5.5,252,"$305,000.00","$2,108.00",2019
USA,The Velocity of Gary,Comedy,5,1691,"$4,000,000.00","$2,143.00",1998
Argentina,La extranjera,Drama,4.6,148,"$800,000.00","$2,161.00",2008
Kazakhstan,Zhauzhürek myng bala,Action,6.5,744,"$12,000,000.00","$2,172.00",2012
Italy,Il bosco fuori,Horror,4.5,1040,"$45,000.00","$2,186.00",2006
UK,Last Summer,Drama,5.8,224,"$830,000.00","$2,205.00",2018
France,Notre paradis,Crime,6,1266,"$600,000.00","$2,206.00",2011
Colombia,Alias María,Drama,6.1,340,"$1,356,000.00","$2,208.00",2015
USA,Side Effects,Comedy,4.9,1056,"$30,000,000.00","$2,216.00",2005
Ireland,Kissing Candice,Drama,5.2,240,"$300,000.00","$2,238.00",2017
UK,Treacle Jr.,Drama,6.9,592,"$30,000.00","$2,248.00",2010
USA,The Pool Boys,Comedy,4.7,2401,"$15,000,000.00","$2,269.00",2009
Germany,Madonnen,Drama,6.2,152,"$2,000,000.00","$2,271.00",2007
