country,original_title,genre,avg_vote,votes,budget,worlwide_gross_income,year
Spain,Retornos,Thriller,6.3,187,"$1,500,000.00","$60,447.00",2010
Japan,Ôritsu uchûgun Oneamisu no tsubasa,Animation,7.3,4722,"$8,000,000.00","$60,634.00",1987
Finland,Kerron sinulle kaiken,Drama,6.7,691,"$810,000.00","$60,657.00",2013
India,Pyaar Ke Side Effects,Comedy,6.7,2958,"$45,000,000.00","$60,714.00",2006
USA,It's a Disaster,Comedy,6.4,10290,"$500,000.00","$60,818.00",2012
Brazil,Olga,Biography,6.6,3099,"$12,000,000.00","$60,820.00",2004
USA,It's Pat: The Movie,Comedy,2.7,9238,"$8,000,000.00","$60,822.00",1994
USA,Chelsea Walls,Drama,5.2,1995,"$100,000.00","$60,902.00",2001
India,Love U... Mr. Kalakaar!,Drama,5.4,413,"$50,000,000.00","$60,956.00",2011
USA,The Elephant King,Drama,6.3,489,"$1,500,000.00","$61,122.00",2006
USA,Amnesiac,Drama,4.3,3458,"$3,000,000.00","$61,192.00",2014
France,Un jeu d'enfants,Drama,5.2,707,"$7,000,000.00","$61,230.00",2001
Spain,Platillos volantes,Comedy,6,291,"$2,253,327.00","$61,270.00",2003
Bulgaria,Forecast,Adventure,6.6,308,"$1,000,000.00","$61,331.00",2008
Germany,Vivere,Drama,6.4,160,"$1,100,000.00","$61,658.00",2007
USA,Straight A's,Comedy,5.7,4341,"$2,000,000.00","$61,669.00",2013
France,The Dancer,Drama,5.8,960,"$77,000,000.00","$61,684.00",2000
Canada,Antiviral,Horror,5.7,11783,"$3,200,000.00","$61,808.00",2012
Serbia,Ma nije on takav,Thriller,6.1,403,"$150,000.00","$62,358.00",2010
India,Thoongaavanam,Action,7,1858,"$500,000,000.00","$62,398.00",2015
USA,The Tiger Hunter,Comedy,5.9,753,"$1,250,000.00","$62,398.00",2016
USA,Code Red,Action,4.2,792,"$3,000,000.00","$62,431.00",2013
Spain,B,Crime,6.7,488,"$370,000.00","$62,463.00",2015
Hungary,Isteni müszak,Comedy,7.5,2333,"$306,000,000.00","$62,539.00",2013
UK,The Chronicle History of King Henry the Fifth with His Battell Fought at Agincourt in France,Biography,7.1,5644,"$475,000.00","$62,619.00",1944
USA,Mala Noche,Drama,6.6,3674,"$25,000.00","$62,743.00",1986
Chile,Mandrill,Action,5.7,459,"$1,000,000.00","$62,820.00",2009
USA,The Mudge Boy,Crime,7.1,4200,"$800,000.00","$62,852.00",2003
Colombia,La mujer del animal,Drama,7.4,334,"$2,000,000.00","$63,010.00",2016
Norway,Før snøen faller,Drama,7.1,517,"$19,000,000.00","$63,111.00",2013
Austria,Der Kameramörder,Romance,5.2,182,"$1,500,000.00","$63,256.00",2010
Brazil,Refrigerantes e Canções de Amor,Comedy,6.2,380,"$810,580.00","$63,258.00",2016
Netherlands,Rafaël,Drama,6.6,206,"$3,000,000.00","$63,320.00",2018
USA,I Smile Back,Drama,6.1,4854,"$495,000.00","$63,373.00",2015
Netherlands,6-May,Drama,6.6,1293,"$2,000,000.00","$63,424.00",2004
USA,A Plumm Summer,Adventure,6.1,370,"$4,200,000.00","$63,521.00",2007
Denmark,Himlen falder,Drama,5.5,209,"$9,000,000.00","$63,629.00",2009
France,Wallay,Drama,6.4,129,"$600,000.00","$63,718.00",2017
Georgia,Rusuli samkudhedi,Thriller,6.9,159,"$2,250,000.00","$63,908.00",2007
France,La jalousie,Drama,6.4,1614,"$4,000,000.00","$63,946.00",2013
France,"Tout, tout de suite",Drama,6.4,137,"$7,300,000.00","$63,970.00",2016
USA,Night of the Demons,Action,4.7,6995,"$10,000,000.00","$64,040.00",2009
Australia,Girl Asleep,Comedy,6.2,2458,"$1,500,000.00","$64,056.00",2015
USA,In Enemy Hands,Drama,6,3845,"$5,400,000.00","$64,236.00",2004
Sweden,Breaking Surface,Action,6.1,623,"$36,000,000.00","$64,241.00",2020
Egypt,El Farah,Drama,6.9,1010,"$10,000,000.00","$64,400.00",2009
Spain,Son de mar,Drama,6,1926,"$2,750,000.00","$64,469.00",2001
France,La blonde aux seins nus,Adventure,6,570,"$5,220,000.00","$64,561.00",2010
Vietnam,Cô dâu dai chien,Action,6,208,"$500,000.00","$64,572.00",2011
India,Rabb Da Radio,Drama,8.2,666,"$50,000,000.00","$64,581.00",2017
USA,Monsieur Verdoux,Comedy,7.9,15450,"$2,000,000.00","$64,636.00",1947
UK,Accident,Drama,6.9,3762,"$600,000.00","$64,675.00",1967
Australia,The School,Horror,3.9,528,"$3,000,000.00","$64,760.00",2018
USA,Nice Girls Don't Explode,Comedy,5.7,403,"$1,000,000.00","$65,000.00",1987
India,Aks,Action,5.9,1574,"$2,200,000.00","$65,036.00",2001
UK,Aberdeen,Drama,7.1,3044,"$6,500,000.00","$65,090.00",2000
New Zealand,How to Meet Girls from a Distance,Comedy,6,329,"$175,000,000.00","$65,168.00",2012
USA,Ouija House,Horror,3,845,"$18,000,000.00","$65,208.00",2018
USA,Reflections in a Golden Eye,Drama,6.8,6295,"$4,500,000.00","$65,232.00",1967
USA,The Minis,Comedy,3.8,707,"$1,000,000.00","$65,379.00",2007
Germany,Für den unbekannten Hund,Drama,6.1,120,"$1,280,000.00","$65,481.00",2007
India,D-Day,Action,7.2,9246,"$300,000,000.00","$65,536.00",2013
Spain,H6: Diario de un asesino,Crime,4.5,975,"$1,200,000.00","$65,550.00",2005
Japan,Ringu 2,Horror,5.9,12291,"$6,000,000.00","$65,586.00",1999
UK,Among Giants,Romance,6,887,"$2,500,000.00","$65,748.00",1998
India,Puriyaadha Pudhir,Thriller,6.6,789,"$80,000,000.00","$65,796.00",2017
Belgium,The Lovers,Action,4.6,3043,"$50,000,000.00","$66,428.00",2015
Slovenia,Siska Deluxe,Comedy,6.3,410,"$1,038,380.00","$66,709.00",2015
Finland,Rat King,Drama,5.2,530,"$1,690,000.00","$66,728.00",2012
Germany,Der Liebeswunsch,Drama,5.6,131,"$3,000,000.00","$66,769.00",2006
Canada,Turbo Kid,Action,6.7,25786,"$60,000.00","$67,069.00",2015
UK,Finding Fatimah,Comedy,6.6,542,"$325,000.00","$67,172.00",2017
India,Fidaa,Drama,7.5,3268,"$150,000,000.00","$67,308.00",2017
UK,Lancaster Skies,Action,4.6,1148,"$80,000.00","$67,522.00",2019
Finland,Kahlekuningas,Comedy,6.4,508,"$10,500,000.00","$67,540.00",2002
Bolivia,Los Andes no creen en Dios,Drama,6.4,115,"$1,000,000.00","$67,562.00",2007
USA,The Old Man and the Sea,Adventure,7,6939,"$5,000,000.00","$67,740.00",1958
Brazil,Malu de Bicicleta,Romance,6.3,225,"$1,300,000.00","$67,754.00",2010
USA,Brenda Starr,Adventure,4.8,980,"$16,000,000.00","$67,878.00",1989
Sweden,New York Waiting,Drama,6.4,571,"$500,000.00","$67,945.00",2006
Canada,Maman est chez le coiffeur,Drama,7.1,854,"$4,350,000.00","$68,130.00",2008
USA,Bloodline,Mystery,5.8,377,"$1,500,000.00","$68,462.00",2008
USA,Wildflower,Drama,5.3,785,"$650,000.00","$68,577.00",2014
Turkey,Karinca Kapani,Crime,5.5,182,"$400,000.00","$68,669.00",2014
UK,All Things to All Men,Action,4.4,1490,"$3,000,000.00","$68,859.00",2013
Russia,Monakh i bes,Comedy,6.8,936,"$130,000,000.00","$68,963.00",2016
Slovenia,Estrellita,Drama,6.3,130,"$1,380,000.00","$69,043.00",2007
Egypt,Oshan 14,Comedy,5,158,"$16,388,764.00","$69,089.00",2016
China,Xue shi san,Crime,6.3,388,"$5,000,000.00","$69,175.00",2018
Hong Kong,Dim dui dim,Drama,6.5,267,"$2,300,000.00","$69,216.00",2014
Serbia,Zaspanka za vojnike,Drama,7.7,729,"$2,000,000.00","$69,290.00",2018
Japan,Boat,Drama,6,108,"$2,000,000.00","$69,314.00",2009
USA,Zeroville,Comedy,4.5,1385,"$6,000,000.00","$69,396.00",2019
Finland,Supermarsu,Family,4.9,123,"$1,670,000.00","$69,416.00",2018
Egypt,Kashf hesab,Mystery,4.8,100,"$10,000,000.00","$69,487.00",2007
USA,Assassination of a High School President,Comedy,6.2,15374,"$11,500,000.00","$69,564.00",2008
Spain,La noche del hermano,Drama,5.1,140,"$2,100,000.00","$69,626.00",2005
Germany,"Morgen, ihr Luschen! Der Ausbilder-Schmidt-Film",Action,3.8,403,"$5,500,000.00","$69,666.00",2008
USA,Take Out,Drama,6.9,504,"$3,000.00","$69,816.00",2004
Philippines,Cavite,Thriller,6.2,610,"$7,000.00","$70,071.00",2005
Spain,Lejos del mar,Drama,5.1,195,"$2,000,000.00","$70,126.00",2015
France,La route d'Istanbul,Drama,6.1,194,"$2,900,000.00","$70,525.00",2016
USA,Seasons of Gray,Drama,6.7,181,"$500,000.00","$70,605.00",2013
India,Sillunu Oru Kadhal,Drama,6.9,2333,"$100,000,000.00","$70,627.00",2006
Sweden,Om det oändliga,Drama,6.9,2212,"$4,558,000.00","$70,714.00",2019
Denmark,Valhalla,Adventure,5.5,2258,"$34,300,000.00","$70,821.00",2019
Germany,Drei Stunden,Comedy,6.2,125,"$530,000.00","$70,842.00",2012
Mexico,Todo el poder,Crime,6.6,997,"$2,000,000.00","$70,920.00",2000
USA,It Runs in the Family,Comedy,5.6,1413,"$15,000,000.00","$70,936.00",1994
Portugal,Julgamento,Drama,6.2,225,"$1,000,000.00","$70,994.00",2007
USA,Rosencrantz and Guildenstern Are Undead,Comedy,5,734,"$600,000.00","$71,007.00",2009
Turkey,Bulanti,Drama,6.3,1786,"$400,000.00","$71,022.00",2015
Germany,Stung,Action,5.1,4612,"$2,500,000.00","$71,085.00",2015
Canada,Extraterrestrial,Action,5,14530,"$3,000,000.00","$71,103.00",2014
USA,New Suit,Comedy,5.8,360,"$1,000,000.00","$71,743.00",2002
USA,As I Lay Dying,Drama,5.4,3746,"$5,000,000.00","$71,759.00",2013
India,Dev,Action,4.8,757,"$550,000,000.00","$72,048.00",2019
India,Dharti,Crime,7.1,344,"$50,000,000.00","$72,174.00",2011
USA,Dorian Blues,Comedy,6.6,2327,"$185,000.00","$72,234.00",2004
UK,Iona,Drama,5.2,288,"$1,000,000.00","$72,241.00",2015
USA,Rebecca,Drama,8.1,119307,"$1,288,000.00","$72,275.00",1940
USA,Eye of the Dolphin,Comedy,5.7,932,"$2,500,000.00","$72,310.00",2006
Poland,Korowód,Drama,5.6,166,"$300,000.00","$72,497.00",2007
Canada,Icarus,Action,5.1,3981,"$5,000,000.00","$72,643.00",2010
USA,Come Away Home,Drama,6.7,383,"$1,200,000.00","$72,810.00",2005
Denmark,Vildheks,Family,4.8,387,"$33,000,000.00","$72,821.00",2018
Germany,Nebel im August,Drama,7.2,1552,"$8,000,000.00","$72,895.00",2016
UK,The I Inside,Mystery,6.1,10307,"$8,800,000.00","$72,962.00",2004
USA,Primal Rage,Action,4.9,2703,"$415,000.00","$73,383.00",2018
UK,Goltzius and the Pelican Company,Biography,6.5,1096,"$2,050,000.00","$73,393.00",2012
USA,A Four Letter Word,Comedy,5.4,831,"$125,000.00","$73,445.00",2007
USA,North by Northwest,Adventure,8.3,291628,"$3,101,000.00","$73,446.00",1959
Germany,How to Kill Your Neighbor's Dog,Comedy,6.9,3416,"$7,300,000.00","$73,510.00",2000
Germany,Ask ve devrim,Drama,5.5,232,"$1,000,000.00","$73,621.00",2011
Bulgaria,The Island,Drama,5,739,"$1,500,000.00","$73,676.00",2011
Canada,The Keeper,Crime,4.7,1613,"$4,000,000.00","$73,788.00",2004
UK,Sugarhouse,Crime,5.9,1250,"$650,000.00","$73,789.00",2007
USA,Love N' Dancing,Drama,5.4,1695,"$10,000,000.00","$73,848.00",2009
Turkey,Organik Ask,Comedy,4,104,"$50,000.00","$74,011.00",2018
Iran,The Elephant King,Animation,5,429,"$2,000,000.00","$74,249.00",2017
Finland,Kuulustelu,Drama,6.7,290,"$522,600.00","$74,297.00",2009
Portugal,Star Crossed,Drama,5.8,438,"$5,000,000.00","$74,489.00",2009
France,Hadewijch,Drama,6.7,1769,"$4,600,000.00","$74,586.00",2009
Romania,Lumea e a mea,Drama,6.3,768,"$168,000.00","$74,664.00",2015
Canada,The Monster,Drama,5.4,15314,"$2,700,000.00","$74,700.00",2016
USA,August Evening,Drama,6.9,265,"$35,000.00","$74,759.00",2007
USA,Double Whammy,Comedy,5.7,3429,"$4,000,000.00","$74,926.00",2001
USA,An Everlasting Piece,Comedy,6.3,1580,"$14,000,000.00","$75,228.00",2000
USA,Swim Little Fish Swim,Comedy,6.5,680,"$70,000.00","$75,504.00",2013
Romania,Touch Me Not,Drama,5.9,2181,"$1,000,000.00","$75,507.00",2018
UK,Rollin' with the Nines,Crime,5.5,1112,"$1,600,000.00","$75,700.00",2006
India,Rarandoi Veduka Chudham,Action,5.6,593,"$150,000,000.00","$75,705.00",2017
Spain,Afterparty,Horror,3.7,639,"$2,800,000.00","$75,812.00",2013
Iceland,Foreldrar,Drama,7,297,"$400,000.00","$75,853.00",2007
Finland,Umur,Drama,5.5,257,"$5,500,000.00","$75,984.00",2002
UK,Arthur's Dyke,Comedy,6.2,293,"$3,000,000.00","$76,065.00",2001
Germany,Endzeit,Fantasy,5.1,477,"$1,800,000.00","$76,243.00",2018
USA,After Midnight,Horror,5.6,1598,"$3,000,000.00","$76,325.00",1989
Finland,Likainen pommi,Comedy,3.8,236,"$700,000.00","$76,414.00",2011
Canada,Speaking Parts,Drama,6.7,1244,"$350,000.00","$76,609.00",1989
USA,How the West Was Won,Western,7.1,18210,"$15,000,000.00","$76,729.00",1962
USA,"My Son, My Son, What Have Ye Done",Drama,6.3,9422,"$2,000,000.00","$76,739.00",2009
France,Apartment #5C,Thriller,6.3,114,"$1,800,000.00","$77,028.00",2002
Colombia,La semilla del silencio,Crime,6.9,100,"$1,000,000.00","$77,096.00",2015
USA,Breaking Upwards,Romance,6.2,1315,"$15,000.00","$77,389.00",2009
Finland,Kid Svensk,Drama,6,515,"$1,900,000.00","$77,410.00",2007
USA,Nightlight,Horror,4.4,1897,"$2,000,000.00","$77,567.00",2015
Russia,Chto tvoryat muzhchiny! 2,Comedy,3.9,1219,"$2,000,000.00","$77,740.00",2015
Australia,Summer Coda,Drama,6.3,495,"$1,000,000.00","$77,769.00",2010
Belgium,Mobile Home,Comedy,6.5,356,"$2,900,000.00","$78,255.00",2012
Turkey,Bornova Bornova,Drama,7,1885,$100.00,"$78,497.00",2009
France,Memory of Love,Drama,6.5,102,"$2,000,000.00","$78,630.00",2009
Portugal,Linhas de Sangue,Action,3.3,268,$500.00,"$78,649.00",2018
USA,Fort McCoy,Drama,5.9,357,"$3,000,000.00","$78,948.00",2011
Italy,Milionari,Biography,5.8,151,"$2,000,000.00","$79,088.00",2014
India,Kaavalan,Action,6.7,4371,"$300,000,000.00","$79,185.00",2011
USA,The Strange Case of Dr. Jekyll and Mr. Hyde,Horror,3.8,337,"$750,000.00","$79,226.00",2006
USA,Cover,Drama,5.5,543,"$3,600,000.00","$79,436.00",2007
USA,Tesla,Biography,5.1,2277,"$5,000,000.00","$79,603.00",2020
USA,Camp X-Ray,Drama,6.9,38766,"$1,000,000.00","$79,624.00",2014
Taiwan,Zong pu shi,Comedy,6.5,571,"$70,000,000.00","$79,643.00",2013
UK,Cleanskin,Action,6.3,19695,"$2,000,000.00","$79,664.00",2012
UK,That Good Night,Drama,6.6,382,"$3,000,000.00","$79,711.00",2017
Bulgaria,Lora ot sutrin do vecher,Adventure,5.9,507,"$5,000.00","$79,721.00",2011
Portugal,Assim assim,Comedy,6.4,309,"$5,000.00","$79,812.00",2012
Canada,Le bonheur de Pierre,Comedy,5.3,270,"$7,000,000.00","$79,921.00",2009
Canada,Gerontophilia,Comedy,6.3,2249,"$2,000,000.00","$80,038.00",2013
USA,Inhale,Drama,6.6,6186,"$10,000,000.00","$80,112.00",2010
India,Apna Asmaan,Drama,6.3,157,"$20,000,000.00","$80,563.00",2007
India,Sarvann,Thriller,5.8,134,"$4,000,000.00","$80,623.00",2017
Japan,Koroshiya 1,Action,7,51416,"$1,400,000.00","$80,631.00",2001
South Africa,Winnie,Biography,6,755,"$15,000,000.00","$80,634.00",2011
Tunisia,Noura Rêve,Drama,6.5,227,"$50,000.00","$80,675.00",2019
Finland,Lärjungen,Drama,6.5,383,"$1,600,000.00","$80,741.00",2013
Canada,The Row,Horror,3.3,1224,"$4,000,000.00","$80,749.00",2018
Peru,Locos de Amor,Comedy,5.6,196,"$750,000.00","$80,847.00",2016
Jordan,Captain Abu Raed,Drama,7.2,1581,"$2,000,000.00","$80,851.00",2007
Denmark,Comeback,Comedy,4.9,238,"$16,300,000.00","$81,323.00",2015
Finland,Ja saapuu oikea yö,Drama,4.6,264,"$920,000.00","$81,578.00",2012
USA,Inkubus,Horror,3.9,1090,"$1,500,000.00","$81,600.00",2011
Australia,UNindian,Comedy,5.6,638,"$5,200,000.00","$81,633.00",2015
USA,Ballast,Drama,6.9,2202,"$700,000.00","$81,864.00",2008
Finland,Drakarna över Helsingfors,Drama,6.1,605,"$11,000,000.00","$81,968.00",2001
Italy,La gabbianella e il gatto,Animation,7.1,1485,"$6,000,000.00","$82,106.00",1998
Romania,Câini,Drama,7.1,2590,"$1,000,000.00","$82,144.00",2016
UK,Demons Never Die,Horror,4.3,1616,"$900,000.00","$82,225.00",2011
USA,Water & Power,Crime,4.9,102,"$600,000.00","$82,312.00",2013
Germany,Adam Resurrected,Drama,6.3,3794,"$10,000,000.00","$82,349.00",2008
Australia,Picnic at Hanging Rock,Drama,7.5,32837,"$440,000.00","$82,361.00",1975
Romania,Comoara,Comedy,6.7,2644,"$900,000.00","$82,392.00",2015
Hungary,Taxidermia,Comedy,6.9,16226,"$500,000,000.00","$82,567.00",2006
USA,At Middleton,Comedy,6.5,7702,"$2,500,000.00","$82,993.00",2013
USA,Hateship Loveship,Drama,6.1,6451,"$5,000,000.00","$83,008.00",2013
UK,The Lodger: A Story of the London Fog,Crime,7.3,10024,"$12,000.00","$83,260.00",1927
South Korea,Pyega,Horror,4,414,"$300,000.00","$83,322.00",2010
USA,The Treatment,Comedy,5.8,1037,"$900,000.00","$83,354.00",2006
USA,ABCD,Drama,5.6,274,"$200,000.00","$83,372.00",1999
USA,He Was a Quiet Man,Drama,6.8,21795,"$600,000.00","$83,440.00",2007
UK,Fools of Fortune,Drama,5.6,201,"$2,500,000.00","$83,490.00",1990
USA,Zabriskie Point,Drama,7,14307,"$7,000,000.00","$83,827.00",1970
Malaysia,Upin & Ipin: Keris Siamang Tunggal,Animation,7.9,440,"$20,000,000.00","$83,857.00",2019
Sweden,Till det som är vackert,Drama,6.9,4165,"$14,700,000.00","$84,013.00",2010
Denmark,En kort en lang,Comedy,6,3152,"$16,500,000.00","$84,168.00",2001
Spain,Yo,Drama,6.5,254,"$30,000.00","$84,310.00",2007
USA,Mozart and the Whale,Comedy,6.9,8568,"$12,000,000.00","$84,447.00",2005
Germany,Das Fremde in mir,Drama,6.7,316,"$500,000.00","$84,544.00",2008
USA,Primal,Action,4.9,4212,"$9,000,000.00","$84,630.00",2019
Canada,Decoys,Horror,4.6,4485,"$5,000,000.00","$84,733.00",2004
Denmark,Min bedste fjende,Drama,6.6,369,"$8,300,000.00","$84,966.00",2010
USA,King Lear,Comedy,5.7,1185,"$2,000,000.00","$85,018.00",1987
USA,Deal,Comedy,5.4,4313,"$5,000,000.00","$85,076.00",2008
Russia,Kontributsiya,Adventure,6.7,164,"$3,700,000.00","$85,193.00",2016
USA,Dracula,Drama,7.5,45054,"$355,000.00","$85,204.00",1931
USA,7 Below,Horror,3.1,3856,"$6,000,000.00","$85,226.00",2012
France,"Wesh wesh, qu'est-ce qui se passe?",Drama,6.9,195,"$230,000.00","$85,249.00",2001
UK,Moscow Zero,Action,3,1649,"$10,000,000.00","$85,455.00",2006
USA,Color of the Cross,Drama,2.9,304,"$2,500,000.00","$85,802.00",2006
France,JC comme Jésus Christ,Comedy,4.2,156,"$800,000.00","$86,419.00",2011
UK,Sorted,Thriller,6.2,1082,"$9,000,000.00","$86,722.00",2000
USA,The Zodiac,Crime,5.4,6924,"$1,000,000.00","$86,872.00",2005
Ukraine,Tayemnyy shchodennyk Symona Petlyury,Biography,6.3,129,"$47,200,000.00","$86,957.00",2018
Hungary,Egy nap,Drama,7.1,811,"$95,930,840.00","$87,070.00",2018
Finland,Aikuisten poika,Comedy,5.6,162,"$1,200,000.00","$87,072.00",2014
India,Naughty Jatts,Comedy,6.3,202,"$81,500,000.00","$87,084.00",2013
USA,Force of Execution,Action,4.4,2941,"$8,000,000.00","$87,122.00",2013
France,The Smell of Us,Drama,5,1386,"$3,540,000.00","$87,212.00",2014
Sweden,Serzanta Lapina atgriesanas,Comedy,7,204,"$426,000.00","$87,232.00",2010
USA,First Morning,Drama,6.7,102,"$300,000.00","$87,264.00",2003
Norway,Skumringslandet,Crime,5.3,423,"$8,500,000.00","$87,275.00",2014
Italy,Bianco di Babbudoiu,Comedy,5.2,123,"$1,200,000.00","$87,618.00",2016
Italy,Evilenko,Crime,6.2,3105,"$9,700,000.00","$87,760.00",2004
USA,Little Chenier,Drama,7,552,"$1,800,000.00","$87,939.00",2006
Denmark,Gå med fred Jamil - Ma salama Jamil,Action,6.9,400,"$10,000,000.00","$87,996.00",2008
France,Un poison violent,Drama,6.4,698,"$2,000,000.00","$88,154.00",2010
USA,The Fallen,Action,5.1,873,"$600,000.00","$88,245.00",2004
Spain,La puerta abierta,Comedy,6.8,651,"$766,000.00","$88,401.00",2016
Greece,To kako - Stin epohi ton iroon,Comedy,5.6,879,"$740,000.00","$88,437.00",2009
Brazil,"Maré, Nossa História de Amor",Drama,5.5,206,"$3,900,000.00","$88,682.00",2007
Hungary,A nyomozó,Comedy,7.5,2453,"$130,000,000.00","$88,973.00",2008
Spain,Un otoño sin Berlín,Drama,5.9,293,"$1,700,000.00","$89,038.00",2015
Turkey,karantina XII,Horror,5.1,319,"$350,000.00","$89,044.00",2018
Finland,Vähän kunnioitusta,Drama,5.5,113,"$533,000.00","$89,099.00",2010
USA,Home Movies,Comedy,5.2,745,"$400,000.00","$89,134.00",1979
Russia,Marafon,Comedy,5.6,152,"$2,400,000.00","$89,145.00",2013
Brazil,10 Segundos para Vencer,Drama,6.8,151,$12.00,"$89,178.00",2018
USA,Salvation Boulevard,Comedy,5.3,4377,"$5,500,000.00","$89,182.00",2011
Egypt,X-Large,Comedy,7.3,2780,"$3,500,000.00","$89,525.00",2011
Peru,Piratas en el Callao,Animation,4.1,135,"$500,000.00","$89,595.00",2005
UK,Eulogy,Comedy,6.6,8486,"$6,500,000.00","$89,781.00",2004
France,Couleur de peau: Miel,Animation,7.2,544,"$3,700,000.00","$89,801.00",2012
Morocco,Casanegra,Drama,7.2,743,"$1,200,000.00","$89,932.00",2008
Australia,Under the Radar,Adventure,6,195,"$3,000,000.00","$89,935.00",2004
USA,Running for Grace,Family,6.1,1234,"$24,000,000.00","$89,988.00",2018
South Africa,Die Windpomp,Drama,6.7,112,"$8,000,000.00","$90,000.00",2014
UK,"The Tulse Luper Suitcases, Part 1: The Moab Story",Adventure,6.7,1099,"$10,000,000.00","$90,071.00",2003
Switzerland,Johnny Suede,Comedy,5.8,3642,"$500,000.00","$90,091.00",1991
USA,King's Faith,Drama,6.5,700,"$650,000.00","$90,106.00",2013
Argentina,Mala,Crime,3.5,121,"$1,500,000.00","$90,124.00",2013
Sweden,Smala Sussie,Comedy,6.9,8932,"$13,800,000.00","$90,132.00",2003
Finland,2 yötä aamuun,Drama,6.1,702,"$1,300,000.00","$90,144.00",2015
Finland,Korso,Drama,5.1,351,"$798,000.00","$90,212.00",2014
USA,Adrift in Manhattan,Drama,5.5,1636,"$4,000,000.00","$90,272.00",2007
Sweden,Den allvarsamma leken,Drama,6.3,954,"$5,000,000.00","$90,456.00",2016
Italy,Ustica: The Missing Paper,Drama,5.4,211,"$3,000,000.00","$90,611.00",2016
USA,Beasts of No Nation,Drama,7.7,71634,"$6,000,000.00","$90,777.00",2015
USA,Because of Grácia,Comedy,6.3,185,"$1,200,000.00","$90,878.00",2017
Singapore,Be with Me,Drama,7,1612,"$200,000.00","$91,297.00",2005
India,Aarya,Action,4.6,177,"$5,000,000.00","$91,389.00",2007
Germany,Zum Geburtstag,Drama,5.5,173,"$1,800,000.00","$91,634.00",2013
Czech Republic,Smradi,Drama,6,190,"$16,000,000.00","$92,436.00",2002
Uruguay,Así habló el cambista,Comedy,6.4,171,"$1,000,000.00","$92,640.00",2019
USA,The First Time,Comedy,6.8,65405,"$2,000,000.00","$92,654.00",2012
USA,Vamps,Comedy,5.2,9273,"$16,000,000.00","$92,748.00",2012
France,Un air de famille,Comedy,7.5,4379,"$3,800,000.00","$92,806.00",1996
Brazil,Antes Que o Mundo Acabe,Drama,6.9,291,"$1,500,000.00","$92,934.00",2009
Portugal,Malapata,Comedy,5.7,433,"$25,000.00","$93,039.00",2017
Spain,Remember Me,Comedy,5.5,211,"$3,600,000.00","$93,215.00",2019
Finland,3Simoa,Comedy,6.4,369,"$275,000.00","$93,296.00",2012
USA,The Runner,Drama,4.7,4972,"$6,000,000.00","$93,296.00",2015
Lithuania,5 dienu avantiura,Comedy,5.1,127,"$377,000.00","$93,613.00",2008
India,Pokiri,Action,7.9,12310,"$120,000,000.00","$93,651.00",2006
USA,Faces in the Crowd,Crime,5.7,18236,"$10,000,000.00","$93,759.00",2011
Finland,Hyvä poika,Drama,6,342,"$560,000.00","$93,781.00",2011
Hungary,A temetetlen halott,Drama,6.6,338,"$1,400,000.00","$93,814.00",2004
Turkey,Sinyora Enrica ile Italyan Olmak,Comedy,6.7,607,"$1,000,000.00","$93,944.00",2010
Argentina,Antigua vida mía,Drama,5.4,159,"$3,600,000.00","$93,996.00",2001
Sweden,Håkan Bråkan & Josef,Comedy,3.9,176,"$14,000,000.00","$94,143.00",2004
USA,Keep Watching,Horror,4.3,3987,"$5,000,000.00","$94,178.00",2017
USA,Idiots and Angels,Animation,7.1,2977,"$125,000.00","$94,434.00",2008
India,Thupparivaalan,Action,7.5,3530,"$50,000,000.00","$94,491.00",2017
USA,The Hebrew Hammer,Comedy,6.1,4587,"$2,000,000.00","$94,615.00",2003
Lebanon,Blind Intersections,Drama,6.7,137,"$450,000.00","$94,920.00",2012
USA,Almost You,Comedy,5.1,214,"$1,000,000.00","$95,000.00",1985
France,La nuit a dévoré le monde,Drama,6,9143,"$2,990,000.00","$95,208.00",2018
France,Made in U.S.A,Comedy,6.4,3652,"$50,000.00","$95,209.00",1966
Mexico,Viaje redondo,Drama,6.8,125,"$1,800,000.00","$95,742.00",2009
Italy,Antonio guerriero di Dio,Biography,6.3,174,"$6,000,000.00","$95,817.00",2006
USA,Signs of Life,Drama,6.1,355,"$5,000,000.00","$95,836.00",1989
Netherlands,Eisenstein in Guanajuato,Biography,6.2,2507,"$2,472,000.00","$95,860.00",2015
Denmark,Happy Ending,Comedy,5.8,350,"$22,100,000.00","$95,948.00",2018
USA,The Maiden Heist,Comedy,6.1,15427,"$20,000,000.00","$96,008.00",2009
Spain,Acantilado,Romance,5.2,424,"$2,500,000.00","$96,169.00",2016
Belgium,Mixed Kebab,Drama,6.3,1152,"$1,300,000.00","$96,217.00",2012
France,Les chevaux de Dieu,Drama,7.2,1634,"$3,000,000.00","$96,277.00",2012
Germany,Max Schmeling,Biography,4.7,1046,"$3,000,000.00","$96,456.00",2010
USA,Hardflip,Action,5.6,751,"$1,000,000.00","$96,734.00",2012
UK,A Fantastic Fear of Everything,Comedy,5.8,13934,"$1,500,000.00","$96,948.00",2012
France,Peau d'ange,Drama,5.8,207,"$4,520,000.00","$97,016.00",2002
USA,The Badge,Crime,6.1,3140,"$6,000,000.00","$97,080.00",2002
UK,Killers Anonymous,Action,5.1,6479,"$26,000,000.00","$97,092.00",2019
