country,original_title,year,genre,avg_vote,votes,worlwide_gross_income
Canada,The Song of Names,2019,Drama,6.3,1792,1138962.0
Finland,Viikossa aikuiseksi,2015,Comedy,5.4,395,1140091.0
France,L'ordre et la morale,2011,Action,6.9,2534,1140744.0
Mexico,Roma,2018,Drama,7.7,134612,1140769.0
Germany,Männer wie wir,2004,Comedy,6.7,1747,1140909.0
USA,House,2008,Horror,4.6,5519,1141018.0
Philippines,Para sa hopeless romantic,2015,Comedy,5.7,134,1141502.0
Spain,Two Much,1995,Comedy,5.4,5252,1141556.0
Belgium,SM-rechter,2009,Biography,6.7,1194,1142211.0
USA,Belizaire the Cajun,1986,Drama,6.6,415,1142243.0
Lithuania,Zero 3,2017,Thriller,6.6,1176,1142638.0
USA,The River Rat,1984,Adventure,6.3,826,1142944.0
Italy,La scelta,2015,Drama,5.6,259,1142974.0
Japan,Kanfû-kun,2007,Action,3.8,123,1143932.0
France,L'anniversaire,2005,Comedy,5.1,212,1144090.0
Thailand,Jan Dara,2001,Drama,6.0,1907,1144132.0
France,Burn Out,2017,Action,6.2,2681,1144435.0
USA,Sugar,2008,Drama,7.2,4603,1144438.0
Netherlands,Bobby en de Geestenjagers,2013,Family,5.7,195,1144556.0
Finland,Vares - Kaidan tien kulkijat,2012,Crime,5.9,825,1145111.0
USA,Miracle Mile,1988,Action,7.0,9099,1145404.0
Turkey,Senden Bana Kalan,2015,Drama,6.6,2365,1145814.0
USA,Dark Country,2009,Crime,5.3,4406,1146422.0
Italy,L'uomo nero,2009,Comedy,6.4,345,1147191.0
Egypt,Alf Mabrouk,2009,Comedy,7.4,3507,1147807.0
Turkey,Kötü Çocuk,2017,Romance,2.1,2302,1147845.0
UK,An American in Paris: The Musical,2018,Musical,8.2,254,1149077.0
France,Martyrs,2008,Horror,7.1,80834,1149138.0
USA,Odd Thomas,2013,Comedy,6.8,46873,1149267.0
India,Humko Deewana Kar Gaye,2006,Drama,5.2,3856,1149417.0
USA,Nightflyers,1987,Horror,4.2,1043,1149470.0
Mexico,"El que busca, encuentra",2017,Comedy,5.2,116,1149667.0
Japan,Higurashi no naku koro ni,2008,Drama,5.6,328,1150197.0
Canada,Les aimants,2004,Comedy,6.7,595,1150414.0
USA,Liberal Arts,2012,Comedy,6.7,35549,1150681.0
Italy,La seconda volta,1995,Drama,6.9,577,1151013.0
Russia,Nevalyashka,2007,Comedy,5.7,347,1151127.0
Netherlands,Voor elkaar gemaakt,2017,Comedy,6.2,589,1151240.0
France,Razzia,2017,Drama,6.2,611,1151580.0
India,Vivegam,2017,Action,5.6,10451,1151913.0
USA,Excessive Force,1993,Action,5.4,1111,1152117.0
Canada,Still/Born,2017,Horror,5.4,3408,1152247.0
Germany,Deutschstunde,2019,Drama,7.0,437,1152502.0
UK,The Reckoning,2002,Crime,6.5,5754,1152528.0
Spain,Descongélate!,2003,Comedy,6.1,366,1152634.0
Spain,El embrujo de Shanghai,2002,Drama,5.5,467,1152695.0
USA,The Wrong Guys,1988,Comedy,5.2,714,1152786.0
Spain,Musarañas,2014,Drama,6.7,5922,1152968.0
USA,Papa Hemingway in Cuba,2015,Biography,6.3,1350,1153690.0
Slovenia,Pr' Hostar,2016,Comedy,7.3,1499,1154075.0
France,96 heures,2014,Thriller,5.5,344,1154310.0
France,"Olivier, Olivier",1992,Drama,7.5,1638,1154476.0
India,Jagga Jasoos,2017,Action,6.5,8794,1154862.0
Australia,The Umbrella Woman,1987,Drama,5.8,482,1155020.0
Turkey,Karakomik Filmler: 2 Arada,2019,Comedy,6.4,9147,1155281.0
India,Billa 2,2012,Action,6.2,10061,1155290.0
South Korea,Hayanbang,2002,Horror,4.6,410,1155954.0
Turkey,Hep Yek 2,2017,Comedy,4.2,901,1156461.0
Norway,Villmark,2003,Adventure,6.2,5289,1156728.0
Finland,Ella ja kaverit,2012,Comedy,4.8,111,1156973.0
Argentina,Perdida,2018,Crime,5.6,3787,1157057.0
Poland,Oblawa,2012,Drama,6.4,1154,1157078.0
USA,Darling Companion,2012,Comedy,5.1,3253,1157257.0
Netherlands,Schone handen,2015,Crime,6.3,1336,1157963.0
Egypt,Nour Einy,2010,Drama,5.7,627,1158353.0
Italy,Ci vuole un gran fisico,2013,Comedy,4.8,226,1158451.0
France,Respire,2014,Drama,7.1,6718,1158695.0
Hong Kong,Wai See Lee: Lam huet yan,2002,Action,4.0,362,1158912.0
USA,Where Hope Grows,2014,Drama,6.6,2912,1159072.0
USA,The Unborn,1991,Drama,4.5,1056,1159578.0
USA,The Final Season,2007,Drama,6.6,2385,1159691.0
South Korea,Natali,2010,Mystery,4.7,404,1159749.0
Netherlands,Spangas in actie,2015,Adventure,5.4,134,1160300.0
France,La cerise sur le gâteau,2012,Comedy,5.6,358,1160375.0
France,Break,2018,Comedy,5.8,318,1160525.0
Norway,Louder Than Bombs,2015,Drama,6.6,11576,1160724.0
France,Le souffle au coeur,1971,Comedy,7.7,8707,1160784.0
USA,To Sleep with Anger,1990,Drama,7.3,1774,1161135.0
Norway,Lønsj,2008,Drama,5.0,823,1161457.0
USA,The Last Face,2016,Drama,4.9,4409,1161751.0
USA,Trois,2000,Drama,4.1,593,1161843.0
USA,Groove,2000,Drama,6.6,4009,1162001.0
India,Dil Kabaddi,2008,Comedy,5.8,636,1162680.0
France,Si j'étais un homme,2017,Comedy,4.8,1310,1162912.0
Chile,Grado 3,2009,Comedy,4.0,407,1163089.0
USA,The Best Two Years,2004,Comedy,7.5,1422,1163450.0
France,Massai - Les guerriers de la pluie,2004,Drama,6.5,193,1163922.0
USA,Heathers,1989,Comedy,7.2,86055,1163969.0
Japan,Kuime,2014,Horror,6.1,1177,1164010.0
China,Bu cheng wen ti de wen ti,2016,Drama,7.3,456,1164932.0
Hong Kong,Bong ga,2007,Crime,5.7,251,1164985.0
USA,Force of Evil,1948,Crime,7.3,5670,1165000.0
USA,Man About Town,2006,Comedy,5.5,7542,1165186.0
India,Ayan,2009,Action,7.4,7848,1165247.0
Turkey,Biz Böyleyiz,2020,Comedy,5.6,3843,1166324.0
Kazakhstan,Tulpan,2008,Comedy,7.0,3069,1166344.0
France,Vous n'avez encore rien vu,2012,Comedy,6.4,1380,1166740.0
India,Ki & Ka,2016,Comedy,5.8,5148,1166781.0
Hong Kong,Ying han,2008,Crime,6.1,428,1167457.0
USA,Dark Tide,2012,Action,4.3,8117,1167612.0
Sweden,Johan Falk: GSI - Gruppen för särskilda insatser,2009,Action,6.9,3414,1167869.0
Turkey,Bu Iste Bir Yalnizlik Var,2013,Romance,5.7,1458,1168197.0
Russia,Zavtrak u papy,2016,Comedy,6.1,237,1169771.0
USA,Night School,1981,Horror,5.6,2248,1169875.0
Slovenia,Petelinji zajtrk,2007,Drama,7.5,1674,1170579.0
USA,Permanent Midnight,1998,Biography,6.3,6866,1171001.0
India,Raanjhanaa,2013,Drama,7.6,28930,1171761.0
UK,Don't Tell Her It's Me,1990,Comedy,5.9,2435,1171762.0
India,Double Dhamaal,2011,Comedy,3.8,3368,1172240.0
Japan,3-gatsu no raion zenpen,2017,Drama,6.7,252,1172600.0
Italy,Il signor Diavolo,2019,Horror,6.0,844,1173752.0
Spain,El sueño de Iván,2011,Adventure,4.8,169,1174290.0
USA,6 Below: Miracle on the Mountain,2017,Adventure,5.7,6100,1174465.0
France,Marie Heurtin,2014,Biography,7.5,1602,1175087.0
Australia,December Boys,2007,Drama,6.5,11564,1175579.0
USA,Why Would I Lie?,1980,Comedy,6.2,209,1175855.0
Japan,Hirune-hime: Shiranai watashi no monogatari,2017,Animation,6.3,1065,1176216.0
UK,Get Real,1998,Comedy,7.5,12219,1176597.0
Spain,Carne de neón,2010,Comedy,5.7,1599,1176915.0
India,Any Body Can Dance 2,2015,Biography,5.4,5222,1176958.0
USA,Destiny Turns on the Radio,1995,Crime,4.6,2241,1176982.0
Netherlands,Het Verlangen,2017,Comedy,5.9,517,1177262.0
Brazil,Na Quebrada,2014,Biography,6.0,145,1177863.0
