country,original_title,year,genre,votes,avg_vote
Germany,Zweiohrküken,2009,Comedy,7615,5.6
USA,The Godfather: Part II,1974,Crime,1098714,9
USA,Countdown,2019,Horror,21646,5.4
USA,Single White Female,1992,Drama,31532,6.4
USA,The Natural,1984,Drama,43216,7.5
Japan,Death Note - Desu nôto: The Last Name,2006,Adventure,15369,7.2
USA,Midsommar,2019,Drama,176389,7.1
USA,The Nanny Diaries,2007,Comedy,55357,6.2
USA,Queen & Slim,2019,Crime,18903,7.1
USA,Look Who's Talking Too,1990,Comedy,43854,4.7
USA,"To Wong Foo Thanks for Everything, Julie Newmar",1995,Comedy,27865,6.6
USA,Phantom Thread,2017,Drama,106231,7.5
USA,Book of Shadows: Blair Witch 2,2000,Adventure,35248,3.9
USA,The Fourth Kind,2009,Horror,72823,5.9
USA,Scott Pilgrim vs. the World,2010,Action,368833,7.5
USA,Man on a Ledge,2012,Action,143295,6.6
USA,New Jack City,1991,Action,30780,6.7
China,Gui lai,2014,Drama,5262,7.2
USA,A Walk to Remember,2002,Drama,196585,7.4
USA,Darkness Falls,2003,Fantasy,29811,5
UK,Man on the Moon,1999,Biography,122278,7.4
France,La belle et la bête,2014,Drama,19308,6.4
USA,Hard to Kill,1990,Action,26895,5.8
USA,Crazy Heart,2009,Drama,82908,7.2
USA,Nightcrawler,2014,Crime,449212,7.9
USA,Almost Famous,2000,Adventure,247626,7.9
USA,Rough Night,2017,Comedy,45643,5.2
UK,The Deep,1977,Adventure,10901,6.2
USA,Texas Chainsaw 3D,2013,Horror,44582,4.8
France,Broken Flowers,2005,Comedy,96903,7.2
USA,Fantasy Island,2020,Action,26823,4.9
UK,A Monster Calls,2016,Adventure,78648,7.5
UK,Mortdecai,2015,Action,65711,5.5
USA,The Watcher,2000,Crime,25538,5.3
USA,Last Man Standing,1996,Action,52551,6.4
USA,Deck the Halls,2006,Comedy,22017,5
UK,High Fidelity,2000,Comedy,165533,7.5
USA,Soul Surfer,2011,Biography,44808,7
USA,The Toy,1982,Comedy,11000,5.9
USA,The Wedding Date,2005,Comedy,47567,6.2
France,Land of the Dead,2005,Horror,90581,6.2
USA,Dracula 2000,2000,Action,31598,4.9
USA,The Place Beyond the Pines,2012,Crime,241182,7.3
Belgium,The Son of Bigfoot,2017,Animation,5154,6.1
USA,Halloween,1978,Horror,222418,7.8
USA,Parker,2013,Action,111698,6.2
USA,Urban Cowboy,1980,Drama,12958,6.4
USA,"See No Evil, Hear No Evil",1989,Comedy,47509,6.9
USA,The Object of My Affection,1998,Comedy,18518,6
USA,Goodfellas,1990,Biography,991505,8.7
UK,The Spy Who Loved Me,1977,Action,96135,7.1
USA,Death at a Funeral,2007,Comedy,107959,7.4
UK,47 Meters Down: Uncaged,2019,Adventure,18686,5
UK,Hachi: A Dog's Tale,2009,Drama,245863,8.1
USA,The Big Lebowski,1998,Comedy,713883,8.1
USA,Practical Magic,1998,Comedy,70397,6.3
UK,Mary Queen of Scots,2018,Biography,36993,6.3
USA,Firefox,1982,Action,24666,6
USA,The Rocketeer,1991,Action,52018,6.5
USA,The Distinguished Gentleman,1992,Comedy,14962,5.9
USA,Uncle Drew,2018,Comedy,11690,5.7
Belgium,Fly Me to the Moon,2007,Animation,4186,4.5
Japan,"Ima, ai ni yukimasu",2004,Drama,4230,7.9
USA,Colors,1988,Action,23745,6.8
USA,The Brady Bunch Movie,1995,Comedy,20300,6
USA,Get Rich or Die Tryin',2005,Biography,43477,5.4
USA,Torque,2004,Action,26801,4.1
USA,The Big Wedding,2013,Comedy,46651,5.6
UK,The Shining,1980,Drama,869480,8.4
China,Bu er shen tan,2013,Action,2615,4.6
USA,Fantastic Mr. Fox,2009,Animation,193078,7.9
USA,Risen,2016,Action,24616,6.3
USA,The Nativity Story,2006,Drama,9747,6.8
Canada,Malice,1993,Crime,22156,6.4
USA,Acrimony,2018,Drama,7607,5.8
UK,Full Metal Jacket,1987,Drama,658175,8.3
USA,It's a Mad Mad Mad Mad World,1963,Action,37207,7.5
South Korea,Neuk-dae-so-nyeon,2012,Fantasy,6488,7.3
USA,Miracle on 34th Street,1994,Family,30670,6.5
USA,The Enforcer,1976,Action,40645,6.8
USA,The Fog,2005,Horror,34589,3.7
South Korea,Gunhamdo,2017,Action,5456,7.1
UK,Eddie the Eagle,2015,Biography,82857,7.4
USA,Napoleon Dynamite,2004,Comedy,194951,6.9
USA,Into the Blue,2005,Action,72713,5.9
USA,For Love of the Game,1999,Drama,31284,6.6
UK,The World's End,2013,Comedy,254015,7
USA,The Hunted,2003,Action,43063,6.1
USA,The Last House on the Left,2009,Horror,84103,6.5
USA,The Rainmaker,1997,Crime,62217,7.2
Italy,Benvenuti al sud,2010,Comedy,8020,6.5
USA,Eight Legged Freaks,2002,Action,51992,5.4
UK,"Greystoke: The Legend of Tarzan, Lord of the Apes",1984,Adventure,17424,6.4
USA,One Missed Call,2008,Horror,30544,4
USA,Brewster's Millions,1985,Comedy,34864,6.5
USA,Brooklyn's Finest,2009,Action,60245,6.7
UK,Lawrence of Arabia,1962,Adventure,261504,8.3
USA,"McFarland, USA",2015,Biography,34643,7.4
USA,RoboCop 2,1990,Action,79909,5.8
USA,Earth to Echo,2014,Adventure,18148,5.8
USA,Young Guns,1988,Action,53474,6.9
USA,That Awkward Moment,2014,Comedy,96462,6.1
USA,The Debt,2010,Drama,63298,6.8
USA,D2: The Mighty Ducks,1994,Comedy,35629,6.1
India,Hero,2015,Action,2219,3.5
China,Fei cheng wu rao,2008,Comedy,3067,6.8
USA,Medicine Man,1992,Adventure,20824,6
USA,Machete,2010,Action,188404,6.6
USA,Good Boy!,2003,Comedy,4014,5.1
USA,Queen of the Damned,2002,Drama,51708,5.3
USA,Thelma & Louise,1991,Adventure,132924,7.5
India,Tanhaji: The Unsung Warrior,2020,Action,19532,7.6
Japan,Kokuhaku,2010,Drama,34860,7.8
Canada,Blair Witch,2016,Horror,40222,5
USA,Flatliners,2017,Drama,40290,5.2
USA,Deuce Bigalow: European Gigolo,2005,Comedy,47896,4.7
USA,Monster's Ball,2001,Drama,81502,7
USA,The Way We Were,1973,Drama,21805,7.1
USA,Foul Play,1978,Comedy,13398,6.8
USA,Pacific Heights,1990,Thriller,17539,6.4
USA,The End,1978,Comedy,3510,6.2
USA,Grudge Match,2013,Comedy,56932,6.4
Canada,Child's Play,2019,Horror,41215,5.8
USA,Cop Land,1997,Crime,84547,6.9
USA,Midnight Cowboy,1969,Drama,98735,7.8
USA,A Nightmare on Elm Street 3: Dream Warriors,1987,Fantasy,68794,6.6
USA,Still Alice,2014,Drama,124366,7.5
USA,In the Bedroom,2001,Crime,36911,7.4
USA,The Wrestler,2008,Drama,286256,7.9
South Korea,Ajeossi,2010,Action,60958,7.8
China,So duk,2013,Action,2193,6.6
USA,Hellboy,2019,Action,74561,5.2
USA,Lakeview Terrace,2008,Crime,48133,6.1
USA,Uptown Girls,2003,Comedy,34641,6.2
USA,The Gift,2000,Drama,62370,6.6
Thailand,Chalard games goeng,2017,Comedy,16805,7.6
Germany,The Negotiator,1998,Action,128210,7.3
Russia,Kholop,2019,Comedy,2630,6.7
USA,The Odd Couple,1968,Comedy,30880,7.7
USA,Mother!,2017,Drama,184669,6.6
USA,Nothing to Lose,1997,Action,43202,6.7
USA,Recess: School's Out,2001,Animation,9253,6.6
USA,Oculus,2013,Horror,114486,6.5
USA,Notorious,2009,Biography,40309,6.7
USA,Up in Smoke,1978,Comedy,35523,7
USA,The Sisterhood of the Traveling Pants 2,2008,Comedy,26655,6.2
USA,A Man Apart,2003,Action,44353,6.1
USA,Picture Perfect,1997,Comedy,18595,5.5
Italy,Pinocchio,2002,Comedy,7646,4.4
Canada,House at the End of the Street,2012,Drama,70657,5.6
Sweden,Luftslottet som sprängdes,2009,Crime,66839,7.3
South Korea,Joheunnom nabbeunnom isanghannom,2008,Action,32839,7.3
USA,Amistad,1997,Biography,69827,7.3
USA,Child's Play,1988,Fantasy,85277,6.6
USA,Young Guns II,1990,Action,30458,6.5
Germany,Hard Ball,2001,Drama,27785,6.4
Germany,Tarzan,2013,Animation,12043,4.8
China,Cui mian da shi,2014,Drama,2324,7
USA,Passenger 57,1992,Action,44198,5.9
USA,West Side Story,1961,Crime,94819,7.5
Australia,Winchester,2018,Biography,29208,5.4
USA,Semi-Pro,2008,Comedy,77449,5.8
USA,A Man Called Horse,1970,Adventure,7955,6.9
USA,Seems Like Old Times,1980,Comedy,8495,6.7
UK,The Last Emperor,1987,Biography,91839,7.7
UK,Wind River,2017,Crime,195535,7.7
USA,Max,2015,Adventure,25357,6.7
USA,Timeline,2003,Action,59602,5.7
France,The Transporter,2002,Action,281093,6.8
USA,Love at First Bite,1979,Comedy,5203,6.2
USA,Jungle Fever,1991,Drama,16709,6.5
USA,Wall Street,1987,Crime,140858,7.4
USA,Shining Through,1992,Drama,8967,6.5
UK,Diamonds Are Forever,1971,Action,93366,6.6
France,Des hommes et des dieux,2010,Drama,14596,7.2
USA,Café Society,2016,Comedy,69058,6.6
USA,Richard Jewell,2019,Biography,48632,7.5
Spain,Mar adentro,2004,Biography,76333,8
USA,The Duff,2015,Comedy,81305,6.5
USA,Soul Food,1997,Comedy,6839,7.1
UK,Judy,2019,Biography,34502,6.8
USA,"Welcome Home, Roscoe Jenkins",2008,Comedy,13315,5.5
USA,City Slickers II: The Legend of Curly's Gold,1994,Comedy,17886,5.6
Canada,Police Academy 3: Back in Training,1986,Comedy,41751,5.4
New Zealand,Boy,2010,Comedy,21037,7.5
USA,We Are Marshall,2006,Drama,56474,7.1
Hong Kong,Feng shen chuan qi,2016,Action,2187,4.5
USA,Harold & Kumar Escape from Guantanamo Bay,2008,Adventure,129251,6.6
USA,Brothers,2009,Action,109275,7.1
USA,The Great Outdoors,1988,Comedy,38513,6.7
South Korea,Eun-mil-ha-gae eui-dae-ha-gae,2013,Action,3485,6.9
USA,Last Holiday,2006,Comedy,27913,6.5
USA,A River Runs Through It,1992,Drama,52491,7.2
USA,The Master of Disguise,2002,Adventure,21991,3.4
China,Harriet,2019,Action,16802,6.5
UK,The Duchess,2008,Biography,77106,6.9
USA,Orange County,2002,Comedy,46547,6.2
USA,The Edge,1997,Action,66684,6.9
USA,The Jungle Book,1994,Adventure,16093,6
USA,Beastly,2011,Drama,74806,5.6
UK,The Snowman,2017,Crime,56719,5.1
USA,Boogie Nights,1997,Drama,233772,7.9
Germany,Freedom Writers,2007,Biography,67569,7.5
UK,You Only Live Twice,1967,Action,95485,6.9
UK,Annihilation,2018,Adventure,271345,6.8
USA,Gifted,2017,Drama,95816,7.6
USA,See Spot Run,2001,Action,8619,5.4
USA,When in Rome,2010,Comedy,59471,5.6
Canada,Meatballs,1979,Comedy,18710,6.2
USA,The Possession of Hannah Grace,2018,Horror,17040,5.2
USA,The Longest Yard,1974,Comedy,16607,7.1
USA,Escape from Alcatraz,1979,Action,116958,7.6
USA,Regarding Henry,1991,Drama,28936,6.7
Hong Kong,Xin Shao Lin si,2011,Action,18403,6.9
UK,Legend,2015,Biography,153742,6.9
USA,The Gallows,2015,Horror,18980,4.2
UK,A Shaun the Sheep Movie: Farmageddon,2019,Animation,7848,6.9
USA,Glory Road,2006,Biography,42333,7.2
USA,Crank,2006,Action,231202,6.9
Russia,Dnevnoy dozor,2006,Action,33035,6.5
USA,A Lot Like Love,2005,Comedy,66632,6.6
Hong Kong,Tau ming chong,2007,Action,25535,7
France,Astérix: Le domaine des dieux,2014,Animation,11771,6.9
USA,The Main Event,1979,Comedy,2605,5.6
Germany,Basic,2003,Action,58487,6.5
USA,Zack and Miri Make a Porno,2008,Comedy,170770,6.5
Hong Kong,Siu Lam juk kau,2001,Action,73136,7.3
USA,Heartbreak Ridge,1986,Drama,38809,6.9
USA,Mannequin,1987,Comedy,28546,5.9
Argentina,El secreto de sus ojos,2009,Drama,187887,8.2
USA,House on Haunted Hill,1999,Crime,52561,5.7
USA,Almost Christmas,2016,Comedy,5724,6.1
France,Oliver Twist,2005,Crime,30619,6.8
Japan,Gekijô ban poketto monsutâ: Daiamondo pâru - Diaruga vs Parukia vs Dâkurai,2007,Animation,2802,6.4
USA,Bangkok Dangerous,2008,Action,54536,5.4
USA,Man of the Year,2006,Comedy,31529,6.2
USA,Love the Coopers,2015,Comedy,19747,5.8
France,8 femmes,2002,Comedy,28617,7.1
UK,Time Bandits,1981,Adventure,57106,7
India,My Name Is Khan,2010,Drama,96685,8
USA,Blue Thunder,1983,Action,16857,6.4
USA,Teenage Mutant Ninja Turtles III,1993,Action,30445,4.8
USA,A Good Year,2006,Comedy,86962,7
Poland,Loving Vincent,2017,Animation,48412,7.8
USA,White Nights,1985,Drama,6575,6.7
China,Diqiu zuihou de yewan,2018,Drama,5773,7.2
USA,Jobs,2013,Biography,92655,5.9
USA,Going the Distance,2010,Comedy,56184,6.3
India,Bang Bang,2014,Action,21418,5.5
USA,Dirty Rotten Scoundrels,1988,Comedy,63295,7.4
USA,The Sisterhood of the Traveling Pants,2005,Comedy,53201,6.5
USA,Around the World in 80 Days,1956,Adventure,24020,6.8
Japan,Meari to majo no hana,2017,Animation,11459,6.8
USA,Meet the Browns,2008,Comedy,6463,4.4
Japan,Rurôni Kenshin: Densetsu no saigo-hen,2014,Action,8363,7.6
USA,"As Above, So Below",2014,Horror,73993,6.2
USA,The Fisher King,1991,Comedy,77764,7.5
Italy,Call Me by Your Name,2017,Drama,199385,7.9
USA,The Guilt Trip,2012,Comedy,35011,5.7
UK,The Return of the Pink Panther,1975,Comedy,24589,7.1
USA,Homeward Bound: The Incredible Journey,1993,Adventure,41219,6.9
USA,The Informant!,2009,Biography,62333,6.4
South Korea,Kwa-sok-seu-kaen-deul,2008,Comedy,3670,7.2
USA,Balls of Fury,2007,Comedy,40264,5.3
USA,"Oh, God!",1977,Comedy,8536,6.6
UK,Wimbledon,2004,Comedy,59049,6.3
UK,T2 Trainspotting,2017,Drama,109887,7.2
USA,Cheech and Chong's Next Movie,1980,Comedy,11676,6.1
USA,Overlord,2018,Action,80870,6.6
USA,The Uninvited,2009,Drama,75032,6.4
USA,The Dark Crystal,1982,Adventure,60913,7.2
USA,Never Back Down,2008,Action,94632,6.6
USA,My Best Friend's Girl,2008,Comedy,42133,5.9
UK,Ronin,1998,Action,169230,7.3
USA,Undercover Brother,2002,Action,33080,5.8
USA,Set It Off,1996,Action,13686,6.9
USA,Safe,2012,Action,101557,6.5
South Korea,Ansisung,2018,Action,3613,7
USA,Blade Runner,1982,Action,677998,8.1
USA,Peggy Sue Got Married,1986,Comedy,32089,6.3
USA,Gremlins 2: The New Batch,1990,Comedy,90688,6.4
USA,Gridiron Gang,2006,Biography,54361,6.9
USA,Pale Rider,1985,Drama,51377,7.3
UK,The Lady in the Van,2015,Biography,25513,6.7
USA,Shark Night 3D,2011,Horror,24398,4
USA,Ricki and the Flash,2015,Comedy,22087,5.9
USA,Quarantine,2008,Action,69311,5.9
USA,Leatherheads,2008,Comedy,30766,6
USA,This Is Where I Leave You,2014,Comedy,71411,6.6
USA,Tequila Sunrise,1988,Crime,28237,6.1
USA,Private Parts,1997,Biography,33448,6.9
USA,Happy Gilmore,1996,Comedy,192461,7
USA,How to Make an American Quilt,1995,Comedy,10525,6.3
Japan,Evangerion shin gekijôban: Ha,2009,Animation,15171,8
France,Le concert,2009,Comedy,17186,7.6
USA,The Darkest Minds,2018,Action,27181,5.7
USA,50/50,2011,Comedy,311992,7.6
UK,Clash of the Titans,1981,Action,40160,6.9
USA,Fist Fight,2017,Comedy,38840,5.6
USA,The Mirror Has Two Faces,1996,Comedy,15084,6.6
USA,Arlington Road,1999,Crime,80028,7.2
New Zealand,Whale Rider,2002,Drama,38893,7.5
UK,Dredd,2012,Action,246284,7.1
USA,Fright Night,2011,Comedy,98172,6.3
USA,Poltergeist II: The Other Side,1986,Horror,24282,5.7
USA,Grand Canyon,1991,Crime,14525,6.9
Germany,Twisted,2004,Crime,20124,5.3
USA,Breach,2007,Biography,57067,7
USA,Pee-wee's Big Adventure,1985,Adventure,48597,7
USA,Drive Angry,2011,Action,93316,5.4
France,Falling Down,1993,Crime,166651,7.6
USA,Underwater,2020,Action,48505,5.8
UK,The Love Guru,2008,Comedy,49864,3.8
USA,Revenge of the Nerds,1984,Comedy,47947,6.6
USA,Where the Heart Is,2000,Comedy,31320,6.8
USA,Gamer,2009,Action,128732,5.8
UK,Fighting with My Family,2019,Biography,62599,7.1
USA,An American Tail: Fievel Goes West,1991,Animation,23104,6.5
USA,Absence of Malice,1981,Drama,11650,6.9
USA,Short Circuit,1986,Comedy,55783,6.7
USA,Encino Man,1992,Comedy,36720,5.8
USA,Cop & ½,1993,Comedy,8119,4.1
USA,30 Minutes or Less,2011,Action,92398,6.1
United Arab Emirates,The Circle,2017,Drama,81826,5.3
Spain,Ocho apellidos catalanes,2015,Comedy,6427,5.4
USA,Three Fugitives,1989,Action,10498,6.2
USA,Bill & Ted's Excellent Adventure,1989,Adventure,111475,7
USA,The Roommate,2011,Drama,36091,4.8
USA,Jagged Edge,1985,Drama,12894,6.5
USA,War,2007,Action,84142,6.2
USA,Pretty in Pink,1986,Comedy,72868,6.8
USA,Holmes & Watson,2018,Comedy,28587,3.8
USA,Serenity,2005,Action,279887,7.8
USA,Bless the Child,2000,Crime,13737,5.1
USA,The Ringer,2005,Comedy,34831,5.8
Canada,The VVitch: A New-England Folktale,2015,Drama,189052,6.9
Spain,La mala educación,2004,Crime,54642,7.4
UK,The Boy in the Striped Pyjamas,2008,Drama,185838,7.8
USA,2010: The Year We Make Contact,1984,Adventure,48850,6.8
USA,The Art of War,2000,Action,28367,5.7
USA,Reds,1981,Biography,20383,7.3
USA,Swiss Family Robinson,1960,Adventure,13786,7.2
USA,The Faculty,1998,Horror,108775,6.5
UK,Carol,2015,Drama,111852,7.2
USA,Blast from the Past,1999,Comedy,58563,6.6
USA,Mo' Money,1992,Action,6949,5.6
UK,Yentl,1983,Drama,12279,6.6
USA,Manhattan,1979,Comedy,129186,7.9
New Zealand,The Piano,1993,Drama,77465,7.6
USA,The Invasion,2007,Sci-Fi,73771,5.9
France,Les rivières pourpres 2 - Les anges de l'apocalypse,2004,Action,19385,6
USA,Big Business,1988,Comedy,11879,6.5
USA,Diary of a Wimpy Kid: The Long Haul,2017,Comedy,6799,4.3
USA,All About Steve,2009,Comedy,39256,4.8
USA,Hannah and Her Sisters,1986,Comedy,65794,7.9
Belgium,Robinson Crusoe,2016,Animation,5549,5.4
USA,Man of the House,1995,Comedy,8565,5.2
USA,Roxanne,1987,Comedy,40058,6.6
Denmark,Dancer in the Dark,2000,Crime,100095,8
USA,I Still Know What You Did Last Summer,1998,Horror,67442,4.7
India,Om Shanti Om,2007,Action,37994,6.7
USA,Dream House,2011,Drama,62632,6
USA,Black Knight,2001,Adventure,37508,4.9
USA,Memento,2000,Mystery,1098879,8.4
USA,The Secret Life of Bees,2008,Drama,23935,7.3
Japan,Astro Boy,2009,Animation,32542,6.3
USA,Caddyshack,1980,Comedy,102977,7.3
Hungary,Monte Carlo,2011,Adventure,40555,5.8
USA,Magnum Force,1973,Action,54841,7.2
USA,Friday the 13th,1980,Horror,115515,6.5
South Korea,Cheong-nyeon-gyeong-chal,2017,Action,4461,7.2
USA,The Forest,2016,Horror,39323,4.8
USA,Jackie Brown,1997,Crime,309422,7.5
USA,Out for Justice,1991,Action,21019,6.1
USA,The November Man,2014,Action,62277,6.3
USA,Pete's Dragon,1977,Animation,21937,6.4
India,Thugs of Hindostan,2018,Action,17132,4
USA,Benji,1974,Adventure,4312,6.2
USA,Hocus Pocus,1993,Comedy,90838,6.9
USA,Nobody's Fool,1994,Comedy,18119,7.4
Turkey,Recep Ivedik 4,2014,Comedy,14882,3.7
USA,Down with Love,2003,Comedy,38891,6.3
USA,The Legend of Bagger Vance,2000,Drama,52789,6.7
Spain,Agora,2009,Adventure,65025,7.2
USA,Fletch Lives,1989,Comedy,19281,6.1
USA,Don Jon,2013,Comedy,225914,6.5
Australia,Crocodile Dundee in Los Angeles,2001,Action,23190,4.8
USA,Halloween II,2009,Horror,47460,4.9
France,I Love You Phillip Morris,2009,Biography,90564,6.6
USA,Sin City: A Dame to Kill For,2014,Action,150021,6.5
USA,Joe Versus the Volcano,1990,Comedy,33953,5.8
UK,Dead Man Walking,1995,Crime,87076,7.5
India,Uri: The Surgical Strike,2019,Action,41318,8.3
USA,Blind Date,1987,Comedy,20427,6
USA,Thank You for Smoking,2005,Comedy,211158,7.6
USA,Cirque du Freak: The Vampire's Assistant,2009,Action,42713,5.8
USA,The Gambler,2014,Crime,64673,6
USA,How Stella Got Her Groove Back,1998,Comedy,6743,5.7
USA,Dumb and Dumberer: When Harry Met Lloyd,2003,Comedy,36849,3.4
USA,¡Three Amigos!,1986,Comedy,66674,6.5
USA,Mars Needs Moms,2011,Animation,20780,5.4
UK,Scoop,2006,Comedy,79554,6.7
UK,Absolutely Fabulous: The Movie,2016,Comedy,11629,5.4
Brazil,Minha Mãe é uma Peça 2: O Filme,2016,Comedy,2144,6.6
Belgium,Le grand bain,2018,Comedy,8089,7
France,Samba,2014,Comedy,14532,6.7
USA,The Spirit,2008,Action,59015,4.8
UK,Show Dogs,2018,Adventure,4047,3.7
Russia,Admiral,2008,Biography,7604,6.8
USA,The Sword and the Sorcerer,1982,Action,5511,5.6
USA,What's Love Got to Do with It,1993,Biography,16616,7.3
USA,Postcards from the Edge,1990,Comedy,15091,6.7
USA,The Exorcist III,1990,Drama,24772,6.4
USA,Funny Lady,1975,Biography,4885,6.3
Sweden,Kronjuvelerna,2011,Drama,2432,5.9
USA,Little Shop of Horrors,1986,Comedy,63797,7
USA,The Karate Kid Part III,1989,Action,47952,5.2
USA,The Life of David Gale,2003,Crime,107612,7.6
USA,Weird Science,1985,Comedy,78335,6.6
USA,The Fly II,1989,Drama,20933,5.1
Russia,Viy,2014,Adventure,4904,5.2
South Korea,Gongjak,2018,Drama,3182,7.2
USA,First Sunday,2008,Comedy,9651,4.5
USA,The Wicker Man,2006,Horror,63349,3.7
USA,Criminal,2016,Action,57738,6.3
USA,Clockstoppers,2002,Action,13261,5.2
Germany,Heidi,2015,Drama,4534,7.5
USA,Dreamer: Inspired by a True Story,2005,Drama,11944,6.8
USA,About Last Night...,1986,Comedy,14089,6.3
USA,Someone Like You...,2001,Comedy,23187,6.1
USA,Breakin',1984,Comedy,5721,5.8
South Korea,Jeon Woochi,2009,Action,2897,6.6
Japan,Always san-chôme no yûhi,2005,Drama,2104,7.7
USA,On the Basis of Sex,2018,Biography,22249,7
China,"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,Action,17307,6.1
UK,Basic Instinct 2,2006,Drama,36831,4.3
USA,The Great Mouse Detective,1986,Animation,43815,7.2
USA,Accepted,2006,Comedy,121619,6.4
USA,Head of State,2003,Comedy,17935,5.5
Germany,The Ghost and the Darkness,1996,Adventure,55403,6.8
USA,The Best of Me,2014,Drama,64623,6.7
France,Taxi 5,2018,Action,7857,4.7
USA,On Deadly Ground,1994,Action,21845,4.6
USA,Urban Legends: Final Cut,2000,Horror,15794,4.3
USA,Running Scared,1986,Action,11144,6.6
USA,Million Dollar Arm,2014,Biography,42861,7
USA,What's the Worst That Could Happen?,2001,Comedy,14842,5.5
USA,Bachelor Party,1984,Comedy,34916,6.3
USA,Employee of the Month,2006,Comedy,44008,5.5
USA,Chernobyl Diaries,2012,Horror,63224,5
USA,Red Dawn,1984,Action,50449,6.4
USA,The Missing,2003,Adventure,32694,6.5
Japan,Boruto: Naruto the Movie,2015,Animation,8038,7.9
USA,The Lazarus Effect,2015,Horror,40360,5.2
USA,City Heat,1984,Action,8905,5.5
UK,The Soloist,2009,Biography,50879,6.7
India,Ghajini,2008,Action,55359,7.3
USA,Higher Learning,1995,Crime,17798,6.5
USA,Annie Hall,1977,Comedy,248254,8
Germany,National Lampoon's Van Wilder,2002,Comedy,102150,6.4
USA,Don't Be Afraid of the Dark,2010,Fantasy,46319,5.6
Japan,20-seiki shônen: Honkaku kagaku bôken eiga,2008,Adventure,2380,6.7
Australia,The Water Diviner,2014,Drama,70359,7
USA,Just My Luck,2006,Comedy,52962,5.4
USA,Jumping the Broom,2011,Comedy,9839,5.7
USA,The Running Man,1987,Action,138785,6.7
USA,The Doctor,1991,Drama,5018,7
USA,Spaceballs,1987,Adventure,168749,7.1
USA,Ri¢hie Ri¢h,1994,Comedy,62397,5.4
USA,Happily N'Ever After,2006,Animation,9973,4.5
USA,One for the Money,2012,Action,40284,5.3
USA,The Producers,2005,Comedy,40208,6.3
USA,The Banger Sisters,2002,Comedy,14272,5.6
Germany,Friendship!,2010,Adventure,5286,6.5
USA,Bill & Ted's Bogus Journey,1991,Adventure,64273,6.3
USA,Overcomer,2019,Drama,3413,6.6
USA,Dead Again,1991,Crime,25462,6.9
UK,The Eagle,2011,Action,64383,6.2
USA,Howard the Duck,1986,Action,42311,4.7
USA,Sgt. Bilko,1996,Comedy,21167,5.9
USA,It Could Happen to You,1994,Comedy,34760,6.4
USA,Killing Them Softly,2012,Crime,131250,6.2
USA,The Dead Pool,1988,Action,39772,6.3
USA,Hell or High Water,2016,Action,198293,7.6
USA,All That Jazz,1979,Drama,27234,7.9
USA,St. Elmo's Fire,1985,Drama,35229,6.4
USA,The Black Stallion,1979,Adventure,11450,7.3
South Korea,Gam-si-ja-deul,2013,Action,6355,7.1
South Korea,Ah-ga-ssi,2016,Drama,104588,8.1
USA,Bulletproof Monk,2003,Action,47286,5.5
USA,The Hills Have Eyes II,2007,Horror,59890,5.1
USA,Casanova,2005,Adventure,51367,6.5
Japan,Rurôni Kenshin: Meiji kenkaku roman tan,2012,Action,19202,7.5
USA,The Prince & Me,2004,Comedy,36938,5.9
USA,Halloween: Resurrection,2002,Horror,36584,4
USA,The Covenant,2006,Action,46158,5.3
USA,Now and Then,1995,Comedy,26563,6.8
China,Hua pi,2008,Action,4410,6.3
USA,Down Periscope,1996,Comedy,20695,6.2
Japan,Pokémon the Movie: I Choose You,2017,Animation,5538,6.3
Spain,Los abrazos rotos,2009,Drama,37764,7.2
USA,A Walk in the Woods,2015,Adventure,24099,6.3
USA,Song of the South,1946,Animation,11103,7.1
UK,Becoming Jane,2007,Biography,57292,7.1
UK,Snowden,2016,Biography,132119,7.3
USA,Do the Right Thing,1989,Comedy,86180,7.9
USA,The Majestic,2001,Drama,51763,6.9
USA,Home Again,2017,Comedy,27064,5.8
USA,Beauty Shop,2005,Comedy,16023,5.6
Japan,Gekijouban Poketto monsutâ Adobansu jenerêshon: Myuu to hadou no yuusha Rukario,2005,Animation,3903,6.9
USA,Semi-Tough,1977,Comedy,2602,5.9
USA,Psycho,1998,Horror,45127,4.6
Japan,Soshite chichi ni naru,2013,Drama,20945,7.8
USA,Raising Cain,1992,Crime,13863,6.1
Spain,Dolor y gloria,2019,Drama,45061,7.6
USA,Brubaker,1980,Crime,15651,7.2
USA,The Family That Preys,2008,Drama,6703,5.7
USA,Rear Window,1954,Mystery,432390,8.4
USA,Sphere,1998,Action,97924,6.1
USA,Nice Dreams,1981,Comedy,6919,6.2
USA,The Intruder,2019,Drama,12126,5.6
India,2,2018,Action,20351,6.3
USA,Devil's Due,2014,Horror,15913,4.1
USA,The Bachelor,1999,Comedy,16440,5
UK,Ex Machina,2014,Drama,462655,7.7
USA,Just Cause,1995,Action,23906,6.4
USA,The Apple Dumpling Gang,1975,Comedy,4944,6.5
USA,My Favorite Martian,1999,Comedy,12660,5.1
USA,Best Friends,1982,Comedy,2538,5.5
China,Xia dao lian meng,2017,Action,2589,5.6
USA,Titan A.E.,2000,Animation,58060,6.6
USA,Alive,1993,Adventure,49798,7.1
USA,Friday the 13th Part III,1982,Horror,45951,5.7
USA,Valentine,2001,Horror,24630,4.9
