country,original_title,year,genre,votes,avg_vote
USA,Spider-Man 2,2004,Action,532565,7.3
USA,Furious 6,2013,Action,363237,7.1
USA,Deadpool 2,2018,Action,460610,7.7
USA,Deadpool,2016,Action,882037,8
USA,Star Wars,1977,Action,1204107,8.6
USA,Guardians of the Galaxy,2014,Action,1023350,8
USA,The Da Vinci Code,2006,Mystery,392810,6.6
USA,Fast & Furious Presents: Hobbs & Shaw,2019,Action,158617,6.4
USA,Maleficent,2014,Action,336610,7
USA,The Amazing Spider-Man,2012,Action,550033,6.9
USA,The Hunger Games: Mockingjay - Part 1,2014,Action,404425,6.6
USA,Shrek Forever After,2010,Animation,180304,6.3
USA,Madagascar 3: Europe's Most Wanted,2012,Animation,159018,6.8
USA,Suicide Squad,2016,Action,586474,6
USA,X-Men: Days of Future Past,2014,Action,650414,8
UK,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,Adventure,358834,6.9
USA,Monsters University,2013,Animation,313986,7.3
USA,The Matrix Reloaded,2003,Action,506036,7.2
USA,Up,2009,Animation,911402,8.2
China,Ne Zha zhi mo tong jiang shi,2019,Animation,5003,7.5
UK,Gravity,2013,Drama,755710,7.7
USA,Captain America: The Winter Soldier,2014,Action,719085,7.7
USA,The Twilight Saga: Breaking Dawn - Part 1,2011,Adventure,219424,4.9
USA,The Twilight Saga: New Moon,2009,Adventure,260695,4.7
USA,Dawn of the Planet of the Apes,2014,Action,406657,7.6
USA,Transformers,2007,Action,589274,7
USA,The Amazing Spider-Man 2,2014,Action,409370,6.6
Canada,It,2017,Horror,442715,7.3
China,Liu lang di qiu,2019,Action,25379,6
USA,The Twilight Saga: Eclipse,2010,Adventure,223170,5
USA,Interstellar,2014,Adventure,1449256,8.6
USA,Mission: Impossible - Ghost Protocol,2011,Action,449833,7.4
USA,The Hunger Games,2012,Action,830511,7.2
USA,Mission: Impossible - Rogue Nation,2015,Action,334530,7.4
USA,Justice League,2017,Action,371025,6.3
USA,Forrest Gump,1994,Drama,1755490,8.8
USA,Doctor Strange,2016,Action,578675,7.5
USA,The Sixth Sense,1999,Drama,894385,8.1
USA,Man of Steel,2013,Action,678921,7
USA,Ice Age: The Meltdown,2006,Animation,250963,6.8
USA,Kung Fu Panda 2,2011,Animation,247095,7.2
USA,The Hunger Games: Mockingjay - Part 2,2015,Action,277407,6.5
USA,Big Hero 6,2014,Animation,400882,7.8
UK,Fantastic Beasts: The Crimes of Grindelwald,2018,Adventure,209744,6.6
USA,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Action,1001260,8
USA,Star Wars: Episode II - Attack of the Clones,2002,Action,625761,6.5
USA,Thor: The Dark World,2013,Action,582153,6.9
USA,Moana,2016,Animation,260900,7.6
Japan,Sing,2016,Animation,129577,7.1
USA,Kung Fu Panda,2008,Animation,409544,7.5
USA,The Incredibles,2004,Animation,642759,8
UK,The Martian,2015,Adventure,740757,8
USA,Hancock,2008,Action,437405,6.4
USA,Fast Five,2011,Action,347242,7.3
USA,Men in Black 3,2012,Action,329608,6.8
USA,Iron Man 2,2010,Action,706284,7
USA,Ratatouille,2007,Animation,624762,8
USA,Ant-Man and the Wasp,2018,Action,295480,7.1
USA,How to Train Your Dragon 2,2014,Animation,298406,7.8
USA,Logan,2017,Action,627493,8.1
USA,The Lost World: Jurassic Park,1997,Action,371000,6.6
UK,Casino Royale,2006,Action,569968,8
USA,The Passion of the Christ,2004,Drama,212350,7.2
USA,Mamma Mia!,2008,Comedy,210500,6.4
USA,Life of Pi,2012,Adventure,570273,7.9
USA,Transformers: The Last Knight,2017,Action,132180,5.2
USA,Madagascar: Escape 2 Africa,2008,Animation,200033,6.6
USA,War of the Worlds,2005,Adventure,409066,6.5
USA,Tangled,2010,Animation,396086,7.7
UK,Quantum of Solace,2008,Action,397640,6.6
USA,Men in Black,1997,Action,506999,7.3
USA,The Croods,2013,Animation,186660,7.2
USA,The Hangover Part II,2011,Comedy,456333,6.4
USA,Iron Man,2008,Action,920706,7.9
USA,I Am Legend,2007,Action,674397,7.2
USA,Ready Player One,2018,Action,353913,7.5
China,Hong hai xing dong,2018,Action,5766,6.7
USA,"Monsters, Inc.",2001,Animation,794964,8
USA,Night at the Museum,2006,Adventure,307074,6.4
USA,Fifty Shades of Grey,2015,Drama,293277,4.1
USA,Kong: Skull Island,2017,Action,262000,6.6
USA,The Smurfs,2011,Animation,82080,5.4
New Zealand,King Kong,2005,Action,384415,7.2
USA,Cars 2,2011,Animation,155043,6.1
USA,Puss in Boots,2011,Animation,141547,6.6
China,Mei ren yu,2016,Comedy,8067,6.2
USA,Armageddon,1998,Action,389810,6.7
USA,The Day After Tomorrow,2004,Action,408418,6.4
USA,Ted,2012,Comedy,562136,6.9
USA,Star Wars: Episode V - The Empire Strikes Back,1980,Action,1132073,8.7
USA,American Sniper,2014,Action,429820,7.3
USA,Mission: Impossible II,2000,Action,308586,6.1
USA,X-Men: Apocalypse,2016,Action,384887,6.9
USA,Sherlock Holmes: A Game of Shadows,2011,Action,413820,7.5
USA,Despicable Me,2010,Animation,491257,7.6
USA,Cinderella,2015,Drama,155645,6.9
USA,Madagascar,2005,Animation,357718,6.9
USA,World War Z,2013,Action,590172,7
USA,Brave,2012,Animation,364295,7.1
USA,The Simpsons Movie,2007,Animation,304958,7.3
USA,The Revenant,2015,Action,684961,8
USA,The Meg,2018,Action,143438,5.6
USA,Ralph Breaks the Internet,2018,Animation,124313,7.1
USA,Hotel Transylvania 3: Summer Vacation,2018,Animation,54196,6.3
USA,The Boss Baby,2017,Animation,105125,6.3
UK,Dunkirk,2017,Action,531422,7.9
USA,Godzilla,2014,Action,369814,6.4
USA,Sherlock Holmes,2009,Action,574055,7.6
USA,Meet the Fockers,2004,Comedy,249128,6.3
USA,How to Train Your Dragon: The Hidden World,2019,Animation,97018,7.5
USA,WALL·E,2008,Animation,974734,8.4
China,Kung Fu Panda 3,2016,Animation,129771,7.1
USA,Terminator 2: Judgment Day,1991,Action,974970,8.5
USA,Ant-Man,2015,Action,553758,7.3
France,The Grinch,2018,Animation,45035,6.3
USA,Ghost,1990,Drama,192449,7
USA,Aladdin,1992,Animation,363761,8
USA,Rio 2,2014,Animation,77968,6.3
USA,Troy,2004,Drama,479687,7.2
USA,Toy Story 2,1999,Animation,514519,7.9
USA,How to Train Your Dragon,2010,Animation,651499,8.1
USA,Twister,1996,Action,173857,6.4
USA,Oz the Great and Powerful,2013,Adventure,197337,6.3
USA,Clash of the Titans,2010,Action,267178,5.8
USA,Maleficent: Mistress of Evil,2019,Adventure,76696,6.6
USA,War for the Planet of the Apes,2017,Action,222173,7.4
USA,Shrek,2001,Animation,600116,7.8
USA,Mr. & Mrs. Smith,2005,Action,442126,6.5
USA,Angels & Demons,2009,Action,267880,6.7
USA,Teenage Mutant Ninja Turtles,2014,Action,198613,5.8
USA,Bruce Almighty,2003,Comedy,365635,6.8
USA,Rio,2011,Animation,202456,6.9
USA,Saving Private Ryan,1998,Drama,1203825,8.6
USA,Rise of the Planet of the Apes,2011,Action,490488,7.6
USA,Home Alone,1990,Comedy,451566,7.6
USA,Star Wars: Episode VI - Return of the Jedi,1983,Action,928036,8.3
UK,Charlie and the Chocolate Factory,2005,Adventure,416793,6.6
USA,Hotel Transylvania 2,2015,Animation,103704,6.7
USA,Indiana Jones and the Last Crusade,1989,Action,676976,8.2
USA,San Andreas,2015,Action,207545,6.1
Canada,It Chapter Two,2019,Drama,192182,6.5
USA,Jaws,1975,Adventure,535807,8
USA,Wreck-It Ralph,2012,Animation,371521,7.7
USA,The Hangover,2009,Comedy,705947,7.7
USA,The Lego Movie,2014,Animation,319327,7.7
China,Bumblebee,2018,Action,131507,6.8
USA,Star Trek Into Darkness,2013,Action,458568,7.7
USA,The Matrix,1999,Action,1632315,8.7
USA,Gladiator,2000,Action,1308193,8.5
USA,Pretty Woman,1990,Comedy,281688,7
USA,Cars,2006,Animation,357920,7.1
Canada,X-Men: The Last Stand,2006,Action,475426,6.7
USA,National Treasure: Book of Secrets,2007,Action,215254,6.5
France,Lucy,2014,Action,433936,6.4
USA,Mission: Impossible,1996,Action,380316,7.1
USA,300,2006,Action,722519,7.6
USA,The Last Samurai,2003,Action,392213,7.7
China,Wo bu shi yao shen,2018,Comedy,4421,7.9
USA,Ocean's Eleven,2001,Crime,504464,7.7
USA,Thor,2011,Action,731043,7
USA,Pearl Harbor,2001,Action,306993,6.2
USA,Tarzan,1999,Animation,198381,7.3
USA,La La Land,2016,Comedy,488112,8
USA,Men in Black II,2002,Action,337088,6.2
USA,The Bourne Ultimatum,2007,Action,597616,8
USA,The Mummy Returns,2001,Action,296653,6.3
USA,Alvin and the Chipmunks: The Squeakquel,2009,Animation,42604,4.5
UK,Les Misérables,2012,Drama,302721,7.6
USA,The Exorcist,1973,Horror,354234,8
USA,Mrs. Doubtfire,1993,Comedy,239445,7
USA,Terminator Genisys,2015,Action,254807,6.3
USA,Beauty and the Beast,1991,Animation,410499,8
China,Warcraft,2016,Action,238090,6.8
USA,A Star Is Born,2018,Drama,318520,7.7
USA,The Greatest Showman,2017,Biography,226510,7.6
USA,Terminator 3: Rise of the Machines,2003,Action,371749,6.3
USA,Pokémon: Detective Pikachu,2019,Action,130487,6.6
UK,Die Another Day,2002,Action,201580,6.1
USA,The Secret Life of Pets 2,2019,Animation,46358,6.5
USA,Cast Away,2000,Adventure,510788,7.8
USA,Rampage,2018,Action,137865,6.1
UK,The King's Speech,2010,Biography,628323,8
USA,The Matrix Revolutions,2003,Action,439565,6.8
France,Intouchables,2011,Biography,736691,8.5
USA,Django Unchained,2012,Drama,1317856,8.4
USA,Bad Boys for Life,2020,Action,111557,6.6
USA,Dances with Wolves,1990,Adventure,235155,8
USA,The Chronicles of Narnia: Prince Caspian,2008,Action,190392,6.5
USA,Sex and the City,2008,Comedy,114468,5.6
USA,The Mummy,1999,Action,384371,7
USA,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,Adventure,138442,6.3
USA,Jason Bourne,2016,Action,203948,6.6
USA,The Wolverine,2013,Action,422312,6.7
UK,Kingsman: The Secret Service,2014,Action,579388,7.7
USA,Night at the Museum: Battle of the Smithsonian,2009,Adventure,173173,6
USA,Batman,1989,Action,332356,7.5
USA,The Bodyguard,1992,Action,116573,6.3
USA,Pacific Rim,2013,Action,459808,6.9
UK,Kingsman: The Golden Circle,2017,Action,262328,6.7
USA,The Mummy,2017,Action,169130,5.4
USA,Ice Age: Collision Course,2016,Animation,54946,5.7
USA,Twilight,2008,Drama,417077,5.2
USA,Signs,2002,Drama,331801,6.7
Canada,X2,2003,Action,504086,7.4
USA,Alita: Battle Angel,2019,Action,217183,7.3
USA,Toy Story,1995,Animation,864461,8.3
USA,The Mummy: Tomb of the Dragon Emperor,2008,Action,148693,5.2
USA,Prometheus,2012,Adventure,560484,7
USA,Gone with the Wind,1939,Drama,283975,8.1
USA,Tron,2010,Action,309135,6.8
UK,Mamma Mia! Here We Go Again,2018,Comedy,75686,6.6
USA,Mission: Impossible III,2006,Action,324310,6.9
USA,Grease,1978,Musical,232940,7.2
USA,Snow White and the Huntsman,2012,Action,269500,6.1
USA,Solo: A Star Wars Story,2018,Action,278319,6.9
USA,The Wolf of Wall Street,2013,Biography,1141549,8.2
