country,original_title,year,genre,avg_vote,votes,budget,worlwide_gross_income
UK,Screwed,2011,"Crime, Drama",5.6,1963,3000000.0,34904.0
USA,Underdogs,2013,"Drama, Family, Sport",5.8,901,2500000.0,35271.0
USA,Good Ol' Boy,2015,"Comedy, Drama, Family",6.8,1073,2000000.0,35312.0
"Canada, Germany",Tunnel Rats,2008,"Action, Drama, War",4.7,4584,8000000.0,35402.0
"USA, France",Kinyarwanda,2011,"Drama, History, Romance",6.7,432,400000.0,35412.0
"UK, France, Italy",The Shadow Dancer,2005,"Comedy, Drama, Romance",6.7,3909,10000000.0,35443.0
Thailand,A Stranger in Paradise,2013,Thriller,4.7,497,3000000.0,35535.0
USA,Guy and Madeline on a Park Bench,2009,"Drama, Musical",6.0,1403,60000.0,35556.0
USA,Fighting Words,2007,"Drama, Romance",4.6,197,2500000.0,35688.0
"France, Thailand",Rebirth,2011,"Action, Drama",4.9,680,1400000.0,35784.0
USA,Before I Die,2016,Horror,5.6,233,150000.0,35841.0
Turkey,Azraille Dans,2018,Comedy,4.3,512,100.0,35862.0
Turkey,Drawers,2015,"Drama, Family, Mystery",7.2,1046,1300000.0,35910.0
India,Pinky Moge Wali,2012,Comedy,3.7,117,27500000.0,35933.0
Turkey,Aydede,2018,Drama,6.1,398,470000.0,35996.0
USA,Not Cool,2014,"Comedy, Drama, Romance",4.1,5439,800000.0,36026.0
USA,Loosies,2011,"Comedy, Crime, Romance",6.2,5733,3900000.0,36145.0
Romania,Dupa ea,2007,Drama,6.5,173,600000.0,36225.0
"Germany, Hungary, France",Womb,2010,"Drama, Romance, Sci-Fi",6.4,13213,3660000.0,36257.0
Spain,De chica en chica,2015,Comedy,5.0,228,100000.0,36316.0
"USA, Japan",Big River,2005,Drama,6.1,176,800000.0,36357.0
Iceland,Þorsti,2019,"Comedy, Horror",6.8,186,10000000.0,36389.0
"UK, Belgium",Waiting for Anya,2020,"Drama, Thriller, War",5.8,693,10000000.0,36404.0
USA,From Here to Eternity,1953,"Drama, Romance, War",7.6,42401,1650000.0,36416.0
USA,Yoga Hosers,2016,"Action, Comedy, Fantasy",4.3,11894,5000000.0,36585.0
Ireland,King of the Travellers,2012,Drama,4.9,237,980000.0,36590.0
India,High End Yaariyaan,2019,"Comedy, Drama, Family",5.6,351,986000.0,36721.0
USA,Infestation,2009,"Action, Adventure, Comedy",5.9,8786,3500000.0,36756.0
India,Dilwale Dulhania Le Jayenge,1995,"Drama, Romance",8.1,61925,40000000.0,36785.0
"Romania, Moldova, Luxembourg",Nunta in Basarabia,2009,Comedy,7.5,976,500000.0,36800.0
"Australia, UK",Accidents Happen,2009,"Comedy, Drama",6.1,2564,6000000.0,36857.0
Canada,Monkey Warfare,2006,"Comedy, Drama",6.3,530,30000.0,36875.0
"France, Italy",Mon oncle,1958,Comedy,7.8,18278,250000.0,36991.0
"China, USA",Pavilion of Women,2001,"Drama, Romance, War",5.9,950,5000000.0,36992.0
West Germany,"Aguirre, der Zorn Gottes",1972,"Action, Adventure, Biography",7.9,50989,370000.0,37041.0
Serbia,S/Kidanje,2013,"Comedy, Drama, Romance",6.3,525,200000.0,37069.0
USA,Catch Hell,2014,"Crime, Drama, Thriller",5.5,2693,2500000.0,37166.0
USA,Savannah,2013,"Drama, Family, History",5.9,1408,5000000.0,37240.0
"Slovenia, Germany, Serbia, Croatia, Bosnia and Herzegovina",Slovenka,2009,Drama,6.2,2964,1500000.0,37319.0
"Georgia, Germany, France, Czech Republic, Kazakhstan, Hungary",Simindis kundzuli,2014,"Drama, War",7.6,3865,1500000.0,37445.0
USA,The Baytown Outlaws,2012,"Action, Comedy, Crime",6.4,13618,4000000.0,37470.0
Finland,Ystäväni Henry,2004,Drama,6.5,162,1700000.0,37487.0
UK,Incident at Loch Ness,2004,"Adventure, Comedy, Fantasy",6.5,3860,1400000.0,37493.0
"USA, Monaco, Romania",Cartels,2017,"Action, Crime, Mystery",3.8,1403,6000000.0,37766.0
"Belgium, Germany, Netherlands",Khadak,2006,"Drama, Romance",6.9,855,3000000.0,37781.0
"Poland, France",Pornografia,2003,"Drama, Romance, War",6.4,878,9000000.0,37834.0
USA,Adult World,2013,"Comedy, Drama",6.1,16617,4000000.0,37887.0
Italy,Native,2011,"Horror, Thriller",5.2,210,50000.0,37997.0
"South Korea, Japan, Hong Kong",Bomnaleun ganda,2001,"Drama, Romance",7.1,1422,2000000.0,37998.0
"Russia, Ireland",Moscow Never Sleeps,2017,Drama,5.4,238,3700000.0,38004.0
India,Hebbuli,2017,"Action, Drama, Thriller",7.0,2090,300000000.0,38052.0
USA,Swelter,2014,"Action, Crime, Drama",4.5,2772,8000000.0,38158.0
India,Madras Cafe,2013,"Action, Drama, Thriller",7.7,22483,350000000.0,38333.0
Argentina,El futuro que viene,2017,Drama,6.4,125,1000000.0,38398.0
Brazil,Arábia,2017,Drama,7.4,998,500000.0,38399.0
USA,Multiple Maniacs,1970,"Comedy, Crime, Horror",6.7,2900,5000.0,38403.0
India,Kadal,2013,"Drama, Romance",5.4,1413,500000000.0,38615.0
India,Naadodigal,2009,"Action, Comedy, Drama",7.7,1093,50000000.0,38695.0
"Russia, France",Kholodnyy front,2016,"Crime, Drama, Mystery",5.4,345,313000.0,38695.0
France,Barbe bleue,2009,Fantasy,6.3,1255,2400000.0,38696.0
"India, Namibia",Maryan,2013,"Adventure, Drama, Romance",7.1,2805,300000000.0,38796.0
UK,Shed of the Dead,2019,"Comedy, Horror",5.1,1327,1000000.0,38901.0
Greece,Polyxeni,2017,Drama,6.0,125,450000.0,38920.0
"Netherlands, UK",Verborgen gebreken,2004,Drama,6.4,156,2000000.0,38955.0
"UK, United Arab Emirates",Starfish,2016,"Biography, Drama",6.6,390,1000000.0,39012.0
USA,Life on the Line,2015,"Action, Thriller",5.2,4556,12000000.0,39027.0
India,Mukhbiir,2008,"Crime, Drama, Mystery",7.0,373,200000000.0,39080.0
"West Germany, USA",The Serpent's Egg,1977,"Drama, Mystery, Thriller",6.7,5081,12000000.0,39238.0
Ireland,Small Engine Repair,2006,"Comedy, Drama",6.3,244,2500000.0,39280.0
Australia,Dinosaur Island,2014,"Adventure, Family, Sci-Fi",3.5,1639,12000000.0,39296.0
Greece,Gynaíkes pou perásate apó do,2017,Comedy,6.8,119,1000000.0,39446.0
France,Napoléon vu par Abel Gance,1927,"Biography, Drama, History",8.1,6864,20000000.0,39448.0
France,Being Light,2001,Comedy,5.6,167,6000000.0,39551.0
"Germany, Switzerland, Austria",Gripsholm,2000,"Drama, History, Romance",6.0,362,10400000.0,39616.0
UK,Comedown,2012,Horror,4.6,1312,2000000.0,39624.0
"UK, Ireland",Freeze Frame,2004,"Crime, Drama, Mystery",6.4,2770,2000000.0,39663.0
Serbia,Vir,2012,"Action, Drama, Fantasy",6.7,709,3000000.0,39699.0
South Korea,Arahan jangpung daejakjeon,2004,"Action, Comedy",6.7,3608,4500000.0,39707.0
Russia,Odna voyna,2009,Drama,6.2,139,1500000.0,39710.0
"Italy, Canada",Hollywood Flies,2005,"Crime, Drama",4.6,485,5700000.0,39768.0
Egypt,Shaban El Fares,2008,"Comedy, Crime",3.3,140,4000000.0,39846.0
Russia,Poslednee ispytanie,2018,"Action, Drama, Romance",7.3,790,54000000.0,39891.0
"Czech Republic, Finland, Luxembourg, Slovakia",Clownwise,2013,"Comedy, Drama",6.5,155,2150000.0,40046.0
Russia,Zelyonaya kareta,2015,Drama,6.1,111,1500000.0,40086.0
Ukraine,Evge,2019,Drama,7.3,720,658000.0,40093.0
"India, USA","Karma, Confessions and Holi",2009,Drama,3.0,120,4000000.0,40100.0
USA,Committed,2000,"Comedy, Drama",5.1,3601,3000000.0,40361.0
USA,Pulse,1988,"Horror, Sci-Fi",5.5,2095,6000000.0,40397.0
USA,CBGB,2013,"Crime, Drama, Music",6.6,8876,5000000.0,40400.0
Germany,"Puppe, Icke & der Dicke",2012,Comedy,6.4,248,500000.0,40536.0
USA,The FP,2011,"Action, Comedy, Drama",5.6,1611,60000.0,40557.0
USA,Language of a Broken Heart,2011,"Comedy, Romance",5.8,306,350000.0,40645.0
"Finland, USA, Italy, UK",The Italian Key,2011,"Comedy, Drama, Romance",5.7,332,1800000.0,40720.0
USA,Hate Crime,2005,"Crime, Drama, Mystery",6.3,1303,500000.0,40758.0
"Hong Kong, USA",Enter the Dragon,1973,"Action, Crime, Drama",7.7,94488,850000.0,40821.0
Turkey,Benzersiz,2017,Thriller,4.9,210,1200000.0,40900.0
Russia,"Papa, sdokhni",2018,"Comedy, Drama, Thriller",6.7,2379,50000000.0,40995.0
USA,Fat Kid Rules the World,2012,"Comedy, Drama",6.5,3212,750000.0,41000.0
USA,Canvas,2006,Drama,6.5,977,1500000.0,41010.0
Canada,Les affamés,2017,"Drama, Horror",5.9,7605,3700000.0,41026.0
"USA, Canada",Arsenal,2017,"Action, Crime, Thriller",4.0,3940,10000000.0,41037.0
USA,Mean Streets,1973,"Crime, Drama, Thriller",7.3,97172,500000.0,41131.0
India,Sakkarakatti,2008,"Comedy, Drama, Musical",2.9,118,100000000.0,41196.0
India,Pattathu Yaanai,2013,Action,3.8,126,240000000.0,41217.0
Ireland,Nails,2017,"Horror, Mystery",4.7,2235,5000000.0,41249.0
Canada,Le mirage,2015,"Comedy, Drama",6.7,759,5400000.0,41258.0
Belgium,Tous les chats sont gris,2014,Drama,6.8,161,1400000.0,41340.0
Ukraine,Brama,2017,"Comedy, Drama, Fantasy",7.0,230,640000.0,41411.0
Romania,Buna! Ce faci?,2010,"Comedy, Romance",7.3,1502,300000.0,41527.0
"Germany, Ireland",Death of a Superhero,2011,Drama,7.1,3366,3800000.0,41575.0
Egypt,Badal Faqed,2009,"Action, Drama, Thriller",6.6,849,4000000.0,41715.0
"France, UK",3 Blind Mice,2003,"Crime, Thriller",4.2,1101,4800000.0,41740.0
"Turkey, Netherlands",Tatil Kitabi,2008,Drama,6.3,810,315715.0,41783.0
"Netherlands, Ireland, Germany",The Legend of Longwood,2014,"Adventure, Drama, Family",5.3,329,4650000.0,41807.0
India,Naan Avanillai,2007,"Crime, Drama, Thriller",5.7,132,10000000.0,41836.0
Egypt,Khalawees,2018,Family,5.8,161,6000000.0,41898.0
Iran,Sperm Whale: Roya's Selection,2017,"Comedy, Drama, Music",5.2,1573,30000000000.0,41922.0
India,Nalpathiyonnu,2019,"Drama, Romance",5.3,173,50000000.0,42104.0
UK,The Forgiven,2017,Thriller,5.9,1857,15000000.0,42213.0
India,Raajakumara,2017,"Action, Drama",7.9,2576,200000000.0,42421.0
Russia,Belye nochi pochtalyona Alekseya Tryapitsyna,2014,Drama,7.1,1553,1200000.0,42491.0
Finland,Lauri Mäntyvaaran tuuheet ripset,2017,"Comedy, Romance",5.7,289,1070000.0,42832.0
Japan,Tekkon kinkurîto,2006,"Animation, Action, Adventure",7.6,12356,4200000.0,42840.0
USA,"First Love, Last Rites",1997,"Drama, Romance",5.2,313,300000.0,42953.0
USA,The Thomas Crown Affair,1968,"Crime, Drama, Romance",7.0,22150,4300000.0,43050.0
USA,3 Backyards,2010,Drama,5.0,661,300000.0,43073.0
USA,The Shadow Effect,2017,"Action, Drama, Mystery",4.2,1576,21000000.0,43368.0
Italy,Maternity Blues,2011,Drama,5.5,121,1000000.0,43397.0
Argentina,Cerro Bayo,2010,"Comedy, Drama",6.4,146,650000.0,43458.0
Iceland,Reykjavik Whale Watching Massacre,2009,"Comedy, Horror",4.9,1859,4000000.0,43476.0
Brazil,Até que a Sbórnia nos Separe,2013,"Animation, Comedy, Music",7.4,263,4000000.0,43559.0
Canada,15 février 1839,2001,"Drama, History",7.2,746,3100000.0,43595.0
USA,The Golden Boys,2008,"Comedy, Romance",6.0,490,8000000.0,43600.0
Argentina,Maracaibo,2017,"Crime, Drama, Thriller",6.3,157,750000.0,43660.0
USA,Bloodhounds of Broadway,1989,"Comedy, Drama, Romance",5.6,1124,4000000.0,43671.0
USA,Woodshock,2017,"Drama, Thriller",4.3,1591,5000000.0,43682.0
USA,Bereavement,2010,"Crime, Horror, Thriller",5.1,6637,3600000.0,43712.0
Finland,Koti-ikävä,2005,Drama,6.0,476,500000.0,43734.0
"Bosnia and Herzegovina, France, Slovenia, Italy",Epizoda u zivotu beraca zeljeza,2013,Drama,6.8,1152,30000.0,43757.0
Spain,La enfermedad del domingo,2018,Drama,6.9,2772,1800000.0,43777.0
USA,Animal Factory,2000,"Crime, Drama",6.6,12630,3600000.0,43805.0
USA,Altered,2006,"Horror, Sci-Fi, Thriller",5.6,9918,8000000.0,43836.0
Australia,A Heartbeat Away,2011,"Comedy, Musical",4.5,262,8000000.0,44044.0
"Palestine, Jordan, Greece, United Arab Emirates",Lamma shoftak,2012,Drama,6.6,588,600000.0,44202.0
India,Osthi,2011,Action,3.4,587,240000000.0,44286.0
USA,Lana's Rain,2002,Drama,6.4,169,215000.0,44287.0
"Canada, USA, UK",Defendor,2009,"Comedy, Crime, Drama",6.8,35247,3500000.0,44462.0
"Finland, Sweden, Denmark",Betoniyö,2013,Drama,6.4,1053,1620000.0,44551.0
USA,The Head Hunter,2018,"Fantasy, Horror",5.3,4695,30000.0,44652.0
"USA, South Korea",Undoing,2006,"Crime, Drama, Thriller",4.2,178,325000.0,44999.0
Canada,Bailey's Billion$,2005,"Comedy, Family",4.1,575,9000000.0,45000.0
"France, Italy",La mariée était en noir,1968,"Crime, Drama, Mystery",7.3,8161,747000.0,45075.0
South Korea,Ane-eui aein-eul mannada,2006,Drama,6.3,262,1000000000.0,45136.0
Turkey,Lost Birds,2015,"Drama, Family",6.8,139,6000000.0,45317.0
USA,The Power of Few,2013,"Action, Crime, Drama",5.2,3419,4000000.0,45659.0
USA,High on the Hog,2019,"Action, Crime, Drama",3.7,166,1200000.0,45696.0
USA,Safe Men,1998,"Comedy, Crime",5.9,3153,1000000.0,45724.0
"UK, South Africa",Outpost 37,2014,"Action, Sci-Fi, Thriller",4.8,6052,4000000.0,45769.0
"Canada, Denmark",Eddie,2012,"Comedy, Horror",5.6,1395,1500000.0,45778.0
USA,Stag Night,2008,"Horror, Thriller",4.8,3059,1500000.0,45927.0
"Denmark, Czech Republic",Skammerens datter II: Slangens gave,2019,"Adventure, Drama, Fantasy",5.6,403,36000000.0,45937.0
Russia,Moroz po kozhe,2007,"Thriller, Drama",4.8,635,1000000.0,45964.0
France,Martha... Martha,2001,Drama,6.6,177,18000000.0,45978.0
USA,City Lights,1931,"Comedy, Drama, Romance",8.5,162668,1500000.0,46008.0
USA,Every Day,2010,"Comedy, Drama, Romance",5.7,3279,3000000.0,46029.0
Turkey,Deniz ve Günes,2018,Drama,5.2,471,3500000.0,46081.0
Australia,Ten Empty,2008,Drama,5.2,187,1400000.0,46137.0
Argentina,El jugador,2016,"Crime, Thriller",5.1,115,8500000.0,46149.0
"United Arab Emirates, USA, India",Heartbeats,2017,"Comedy, Drama, Music",5.4,674,6000000.0,46180.0
Czech Republic,Poupata,2011,Drama,6.6,182,16500000.0,46428.0
USA,Ca$h,2010,"Crime, Thriller",6.0,9026,7000000.0,46488.0
USA,White Dog,1982,"Drama, Horror",7.1,8488,8000000.0,46509.0
"Romania, France, Sweden, Germany",Un etaj mai jos,2015,Drama,6.3,808,1000000.0,46638.0
"France, Romania, Belgium",L'extraordinaire voyage de Marona,2019,"Animation, Drama, Family",7.6,344,2700000.0,46707.0
Japan,Rashômon,1950,"Crime, Drama, Mystery",8.2,148193,250000.0,46808.0
"Netherlands, Japan",Ascent,2016,Drama,7.0,162,500000.0,46850.0
Bangladesh,Matir moina,2002,"Drama, History",8.6,3724,300000.0,46852.0
USA,Never Been Thawed,2005,Comedy,6.0,352,35000.0,47219.0
"Slovakia, Czech Republic",Let There Be Light,2019,Drama,6.7,267,800000.0,47231.0
Egypt,Ma2lab harameya,2008,Action,4.2,110,350000.0,47325.0
Canada,Twist,2003,Drama,6.3,1308,350000.0,47370.0
"Argentina, Mexico",Penumbra,2011,"Horror, Thriller",5.5,968,1250000.0,47371.0
"USA, Hungary",Mix,2004,"Comedy, Drama",5.8,245,1000000.0,47401.0
"UK, Germany, Luxembourg, USA",George and the Dragon,2004,"Action, Adventure, Comedy",5.7,3635,32000000.0,47636.0
"Canada, Belgium, France",Congorama,2006,"Comedy, Drama",7.1,1137,5000000.0,47643.0
"Ireland, Sweden, France",Hideaways,2011,"Fantasy, Thriller",6.2,2622,6000000.0,47654.0
"France, Italy","Alphaville, une étrange aventure de Lemmy Caution",1965,"Drama, Mystery, Sci-Fi",7.1,22357,220000.0,47696.0
Brazil,Eu Não Faço a Menor Ideia do Que Eu Tô Fazendo Com a Minha Vida,2012,"Comedy, Drama",5.6,397,20000.0,47717.0
Turkey,Ara,2008,Drama,6.7,399,100000.0,47859.0
USA,Two Weeks,2006,"Comedy, Drama",6.4,1904,2400000.0,47986.0
"Switzerland, Italy, France",Azzurro,2000,Drama,6.7,206,2300000.0,48030.0
Brazil,Trinta,2014,"Biography, Drama",6.6,204,5000000.0,48031.0
"USA, Canada",L!fe Happens,2011,Comedy,5.6,7613,930000.0,48041.0
USA,Interview with the Assassin,2002,Drama,6.5,1744,750000.0,48058.0
Germany,Meer is nich,2007,"Drama, Music",6.4,104,800000.0,48166.0
Canada,Waydowntown,2000,Comedy,6.7,1793,1000000.0,48333.0
UK,Boogie Woogie,2009,"Comedy, Drama",5.2,3530,6000000.0,48411.0
"Belgium, France",Alléluia,2014,"Crime, Horror, Romance",6.2,2537,2896000.0,48426.0
UK,Following,1998,"Crime, Mystery, Thriller",7.5,84550,6000.0,48482.0
China,Wang de Shengyan,2012,"Action, History",5.7,708,12000000.0,48502.0
Denmark,Den tid på året,2018,"Comedy, Drama",6.1,730,21700000.0,48537.0
"Luxembourg, Germany",Schatzritter,2012,"Adventure, Family",5.5,103,3800000.0,48556.0
Bulgaria,Cvetat na hameleona,2012,"Comedy, Drama, Thriller",5.9,402,850000.0,48652.0
"Mexico, USA",The Favor,2007,Drama,7.3,129,750000.0,48745.0
Bulgaria,Mila ot Mars,2004,Drama,6.9,1225,38000.0,48778.0
"South Korea, Canada, USA",Dancing Ninja,2010,"Action, Comedy, Crime",4.1,156,2450000.0,48818.0
"Turkey, Germany, France",Yozgat Blues,2013,"Comedy, Drama, Music",6.8,2895,1000000.0,48867.0
USA,The Situation,2006,"Drama, War",6.3,802,1000000.0,48896.0
Lithuania,Duburys,2009,Drama,7.3,223,700000.0,48969.0
"Brazil, USA",Open Road,2013,"Action, Drama, Thriller",5.4,1664,3000000.0,48985.0
USA,Box Elder,2008,Comedy,6.7,306,60000.0,48996.0
India,Chocolate: Deep Dark Secrets,2005,"Crime, Drama, Mystery",4.8,1845,1500000.0,49000.0
USA,Assisted Living,2003,"Comedy, Drama",6.6,267,500000.0,49048.0
USA,Disturbing the Peace,2020,"Action, Adventure, Thriller",3.2,1265,5000000.0,49104.0
USA,The Amati Girls,2000,Drama,5.3,354,6000000.0,49136.0
"USA, Germany, Brazil",Journey to the End of the Night,2006,"Crime, Drama, Thriller",5.8,2443,6200000.0,49172.0
Taiwan,Z-108 qi cheng,2012,"Horror, Sci-Fi",3.3,812,3000000.0,49219.0
USA,Echo Effect,2015,"Action, Thriller",3.5,1313,5000000.0,49286.0
India,Atithi Tum Kab Jaoge?,2010,Comedy,6.4,5037,200000000.0,49314.0
"France, Italy",En cas de malheur,1958,"Drama, Crime, Romance",6.7,1179,750000.0,49454.0
Mexico,Cumbia callera,2007,"Crime, Drama, Musical",5.9,232,1000000.0,49484.0
USA,A Streetcar Named Desire,1951,Drama,8.0,97240,1800000.0,49523.0
USA,Curdled,1996,"Comedy, Crime, Thriller",5.9,4841,2300000.0,49620.0
USA,The Fantasticks,2000,"Musical, Romance",5.6,1097,10000000.0,49666.0
Egypt,Ibrahim Labyad,2009,"Action, Drama",7.2,2603,26000000.0,49699.0
Ukraine,The Bobot,2018,"Adventure, Family, Sci-Fi",4.7,131,800000.0,49756.0
UK,Fakers,2004,"Comedy, Crime",5.8,543,1800000.0,49880.0
"Turkey, France, Germany, Greece",Bulutlari Beklerken,2004,Drama,6.7,757,2000000.0,49910.0
"UK, France",Sex Doll,2016,Thriller,4.5,1656,2500000.0,49957.0
"Denmark, Sweden, Norway, Germany",Hamsun,1996,"Biography, Drama, War",7.1,1439,40000000.0,50000.0
USA,Royal Kill,2009,"Action, Thriller",2.9,514,350000.0,50090.0
Italy,Giallo,2009,"Crime, Drama, Horror",4.4,5138,14000000.0,50113.0
"Finland, Germany",Maata meren alla,2009,"Comedy, Drama",5.3,176,945000.0,50180.0
USA,The Opposite Sex,2014,Comedy,4.5,938,3300000.0,50206.0
"Italy, Romania, France",Sette opere di misericordia,2011,Drama,5.7,110,700000.0,50323.0
USA,Spontaneous Combustion,1990,"Horror, Sci-Fi, Thriller",4.8,2252,5500000.0,50367.0
Russia,Atomnyy Ivan,2012,"Comedy, Romance",5.0,106,1500000.0,50384.0
"Switzerland, Luxembourg",La petite chambre,2010,Drama,6.9,200,200000.0,50421.0
Italy,6 giorni sulla Terra,2011,"Mystery, Sci-Fi, Thriller",4.1,239,1000000.0,50431.0
Netherlands,Fighting Fish,2004,"Action, Adventure, Crime",3.5,317,500000.0,50445.0
UK,Radiator,2014,"Comedy, Drama",6.8,214,0.0,50447.0
India,Tu Mera 22 Main Tera 22,2013,Comedy,5.5,275,50000000.0,50474.0
"Hungary, Germany, France, Italy",A londoni férfi,2007,"Crime, Drama, Mystery",7.1,3602,6000000.0,50626.0
"UK, Azerbaijan",Ali and Nino,2016,"Drama, Romance, War",6.9,4607,20000000.0,50721.0
Germany,Der Fluss war einst ein Mensch,2011,Drama,5.9,267,150000.0,50854.0
New Zealand,Show of Hands,2008,"Comedy, Drama, Romance",6.1,146,2400000.0,50995.0
USA,The Good Doctor,2011,"Drama, Thriller",5.5,6300,6000000.0,51017.0
India,Goreyan Nu Daffa Karo,2014,Comedy,7.4,754,5000000.0,51047.0
Spain,Tuno negro,2001,"Drama, Horror, Mystery",4.3,1008,2070000.0,51160.0
Germany,Sieben Tage Sonntag,2007,Drama,6.0,259,350000.0,51219.0
USA,The Jezebels,1975,"Action, Crime, Drama",6.6,3153,320000.0,51264.0
USA,Fall,1997,"Drama, Romance",6.0,1670,1000000.0,51266.0
"UK, USA",The African Queen,1951,"Adventure, Drama, Romance",7.7,70236,1000000.0,51357.0
Turkey,Kor,2016,Drama,6.4,1549,500.0,51505.0
Canada,Captive,2013,"Action, Thriller",3.9,213,50000.0,51539.0
"Spain, Argentina",Cuando dejes de quererme,2018,"Crime, Drama, Mystery",6.2,225,2000000.0,51703.0
UK,The 39 Steps,1935,"Mystery, Thriller",7.6,50519,50000.0,51711.0
Bulgaria,Monkey,2016,Drama,6.8,314,800000.0,51719.0
"Germany, Italy",Führer Ex,2002,Drama,6.6,1435,5000000.0,51772.0
India,Nene Raju Nene Mantri,2017,"Action, Thriller",5.8,1166,400000000.0,51805.0
USA,American Hero,2015,"Action, Comedy, Drama",4.9,3798,990000.0,51824.0
Turkey,Büyük oyun,2009,Drama,5.4,201,280000.0,51955.0
Russia,Zvezda,2014,"Comedy, Drama",6.9,877,2500000.0,52044.0
Ukraine,Gnizdo gorlytsi,2016,Drama,7.3,239,16400000.0,52064.0
USA,"Surfer, Dude",2008,Comedy,4.7,8268,6000000.0,52132.0
USA,Follow Me Home,1996,Drama,5.8,174,220000.0,52155.0
India,Oru Adaar Love,2019,"Comedy, Romance",5.5,2091,2500000.0,52156.0
Yemen,10 Days Before the Wedding,2018,"Comedy, Drama, Musical",8.6,459,33000.0,52238.0
Germany,Schilf,2012,"Drama, Sci-Fi, Thriller",4.8,147,1800000.0,52243.0
"Serbia, USA, Germany",Tamo i ovde,2009,"Comedy, Drama",6.3,974,300000.0,52307.0
"Spain, Japan","Psiconautas, los niños olvidados",2015,"Animation, Drama, Horror",7.3,1968,1000000.0,52366.0
Spain,Bajo la piel de lobo,2017,Drama,5.8,2208,1700000.0,52408.0
Singapore,Pao ba hai zi,2003,"Drama, Family",6.5,340,1600000.0,52419.0
USA,Trucker,2008,Drama,6.6,3084,2000000.0,52429.0
"UK, Greece",Opa!,2005,"Comedy, Romance",6.0,328,6000000.0,52453.0
"Germany, South Africa, USA",Blast,2004,"Action, Thriller",4.8,1551,20000000.0,52456.0
"France, Morocco, Switzerland",L'armée du salut,2013,Drama,5.4,530,1000000.0,52511.0
USA,Reggie's Prayer,1996,"Drama, Sport",4.8,152,2600000.0,52665.0
India,Shivalinga,2016,"Drama, Horror, Thriller",7.1,526,80000000.0,52787.0
"Mexico, France, USA",Los bastardos,2008,"Crime, Drama, Thriller",6.3,1279,1000000.0,52940.0
Finland,Väärät juuret,2009,Drama,6.0,170,1240000.0,52943.0
"France, Mauritania",Heremakono,2002,"Drama, Music",6.7,922,1450000.0,53048.0
India,Varalaaru,2006,"Action, Drama",7.1,2445,100000000.0,53121.0
India,Hulla,2008,"Comedy, Drama",6.4,212,200000.0,53261.0
South Korea,Grass,2018,Drama,6.7,892,100000.0,53503.0
USA,Finishing the Game: The Search for a New Bruce Lee,2007,Comedy,6.0,1734,500000.0,53570.0
USA,Kalamazoo?,2006,Comedy,4.9,113,2000000.0,53609.0
USA,Blunt Force Trauma,2015,Action,4.6,1584,1000000.0,53752.0
USA,Bart Got a Room,2008,Comedy,5.6,3965,2000000.0,53760.0
Norway,Harajuku,2018,Drama,6.9,319,8025000.0,53901.0
"USA, Canada",The Assassin's Code,2018,"Action, Crime, Drama",5.0,948,1800000.0,53940.0
France,Dans la tourmente,2011,"Drama, Thriller",4.7,161,7500000.0,53999.0
USA,L.A. Twister,2004,Comedy,5.9,204,450000.0,54000.0
"USA, Australia",Broken Hill,2009,"Drama, Family, Music",6.3,629,2500000.0,54058.0
UK,Last Passenger,2013,"Action, Mystery, Thriller",5.7,5774,2500000.0,54110.0
USA,Line of Duty,2013,"Action, Crime, Thriller",5.1,775,2500000.0,54204.0
"USA, Japan",Return of the Living Dead III,1993,Horror,5.9,13576,2000000.0,54207.0
"Kazakhstan, Russia, France, Germany",Shiza,2004,"Crime, Drama, Romance",7.0,971,1500000.0,54357.0
"UK, Lithuania",We Will Sing,2015,Drama,6.4,219,200000.0,54360.0
USA,Badlands,1973,"Action, Crime, Drama",7.8,63933,450000.0,54396.0
"New Zealand, UK",Tracker,2010,"Action, Adventure, Drama",6.5,3713,6500000.0,54437.0
Spain,El abuelo,1998,Drama,7.3,1684,400000000.0,54468.0
USA,The Harimaya Bridge,2009,Drama,6.4,162,2000000.0,54473.0
"Iran, Lebanon",Princess of Rome,2015,"Animation, Adventure, Drama",6.3,402,2000000000.0,54580.0
China,Zhui ying,2009,"Action, Comedy",4.8,279,15000000.0,54580.0
Italy,Orecchie,2016,Comedy,6.8,395,150000.0,54681.0
USA,Six Ways to Sunday,1997,"Comedy, Crime, Drama",6.3,1375,2500000.0,54751.0
"UK, Nigeria",The Mirror Boy,2011,"Adventure, Drama, Fantasy",4.7,107,600000.0,54771.0
Spain,Cuando los ángeles duermen,2018,"Drama, Thriller",5.4,2907,2322000.0,54850.0
UK,City of Tiny Lights,2016,"Crime, Drama, Thriller",5.5,1825,3000000.0,54903.0
Canada,Dracula: Pages from a Virgin's Diary,2002,"Drama, Horror, Musical",6.8,1858,1600000.0,55365.0
India,Naam Shabana,2017,"Action, Thriller",6.3,5397,290000000.0,55429.0
"Brazil, France",O Outro Lado da Rua,2004,"Thriller, Drama",6.7,917,5200000.0,55459.0
"Latvia, Germany, Greece",Modris,2014,Drama,6.7,373,600000.0,55489.0
Japan,Versus,2000,"Action, Comedy, Drama",6.4,12276,400000.0,55500.0
"South Africa, Canada",A Million Colours,2011,Drama,6.6,244,6000000.0,55532.0
India,Channo Kamli Yaar Di,2016,Drama,5.7,169,3000000.0,55621.0
