country,original_title,year,genre,avg_vote,worlwide_gross_income
Hong Kong,Jing wu feng yun: Chen Zhen,2010,Action,6.3,27390678.0
USA,Ella Enchanted,2004,Comedy,6.3,27388767.0
South Korea,Joseon Myungtamjung: Nobui Ddal,2015,Action,6.3,27387870.0
Russia,Gorko!,2013,Comedy,5.4,27369902.0
USA,Midnight Sun,2018,Drama,6.6,27365467.0
USA,Bed of Roses,1996,Drama,6.1,27315527.0
USA,The Last Mimzy,2007,Drama,6.2,27308918.0
Japan,Dororo,2007,Action,6.4,27308865.0
USA,Stay Alive,2006,Fantasy,5.1,27298695.0
USA,Ramona and Beezus,2010,Comedy,6.5,27293743.0
Hong Kong,Po feng,2015,Drama,6.2,27267799.0
USA,American Ultra,2015,Action,6.1,27262374.0
South Korea,Uri saengae choego-ui sungan,2008,Drama,6.4,27259300.0
South Korea,Kang Chul-jung: Gonggongui jeog 1-1,2008,Action,6.4,27230985.0
Japan,Doraemon: Nobita no Wan Nyan Jikûden,2004,Animation,6.9,27213282.0
USA,Sorority Row,2009,Horror,5.1,27206120.0
UK,A Passage to India,1984,Adventure,7.3,27201244.0
Australia,Dark City,1998,Mystery,7.6,27200316.0
UK,The Bridge on the River Kwai,1957,Adventure,8.1,27200000.0
South Africa,Khumba,2013,Animation,5.7,27187375.0
Thailand,Tom yum goong,2005,Action,7.1,27165581.0
UK,Flash Gordon,1980,Action,6.5,27153545.0
USA,Airplane II: The Sequel,1982,Comedy,6.2,27150534.0
Canada,Splice,2009,Drama,5.7,27127620.0
USA,Shoot 'Em Up,2007,Action,6.7,27122238.0
USA,The Jazz Singer,1980,Drama,5.9,27118000.0
Ireland,All Dogs Go to Heaven,1989,Animation,6.8,27100027.0
UK,Let Me In,2010,Drama,7.1,27093592.0
USA,Fast Times at Ridgemont High,1982,Comedy,7.2,27092880.0
USA,Ghost Town,2008,Comedy,6.7,27090159.0
Germany,Vaterfreuden,2014,Comedy,5.6,27088817.0
Russia,Politseyskiy s Rublyovki. Novogodniy bespredel,2018,Comedy,5.8,27075595.0
USA,Rendition,2007,Drama,6.8,27066382.0
USA,Guarding Tess,1994,Comedy,6.2,27058304.0
USA,Hitchcock,2012,Biography,6.8,27039669.0
USA,The Big Hit,1998,Action,6.1,27007143.0
Mexico,El crimen del Padre Amaro,2002,Drama,6.7,26996738.0
China,Ban Ge Xi Ju,2019,Drama,6.7,26990962.0
USA,Clerks II,2006,Comedy,7.3,26986174.0
USA,Glory,1989,Biography,7.8,26979166.0
USA,Observe and Report,2009,Comedy,5.8,26973554.0
USA,Spy Hard,1996,Action,5.4,26960191.0
Germany,Der Baader Meinhof Komplex,2008,Action,7.4,26937355.0
India,Jodhaa Akbar,2008,Action,7.6,26935618.0
Poland,Listy do M.,2011,Comedy,7.1,26923513.0
India,Total Dhamaal,2019,Action,4.2,26911995.0
China,The Painted Veil,2006,Drama,7.5,26910847.0
UK,A Clockwork Orange,1971,Crime,8.3,26903440.0
USA,You're Next,2011,Horror,6.6,26895481.0
USA,The In-Laws,2003,Action,5.8,26891849.0
UK,The French Lieutenant's Woman,1981,Drama,7.0,26890068.0
USA,Eye for an Eye,1996,Crime,6.2,26877589.0
USA,Paulie,1998,Adventure,6.5,26875268.0
USA,Going in Style,1979,Comedy,7.1,26869286.0
South Korea,Mi-seu-teo Go,2013,Comedy,6.1,26835201.0
USA,The Invisible,2007,Crime,6.2,26810113.0
USA,CHIPS,2017,Action,6.0,26800152.0
Netherlands,Zwartboek,2006,Drama,7.7,26768563.0
Japan,Anata e,2012,Drama,6.9,26723916.0
USA,Overboard,1987,Comedy,6.9,26713187.0
USA,Baby Boom,1987,Comedy,6.3,26712476.0
UK,Event Horizon,1997,Horror,6.7,26673242.0
USA,Prizzi's Honor,1985,Comedy,6.7,26657534.0
Japan,Pokémon: Mewtwo Strikes Back - Evolution,2019,Animation,5.7,26654184.0
South Korea,Geon-chook-hak-gae-ron,2012,Drama,7.2,26642354.0
USA,A Cure for Wellness,2016,Drama,6.4,26620002.0
USA,One True Thing,1998,Drama,7.0,26616840.0
France,Un monstre à Paris,2011,Animation,6.7,26611650.0
UK,An American Werewolf in Paris,1997,Comedy,5.1,26570463.0
USA,Harriet the Spy,1996,Comedy,5.9,26570048.0
Russia,Mongol,2007,Action,7.2,26527510.0
UK,Damien: Omen II,1978,Horror,6.3,26518355.0
USA,No manches Frida 2,2019,Comedy,4.0,26493648.0
USA,First Kid,1996,Family,5.3,26491793.0
South Korea,Kkeut-kka-ji-gan-da,2014,Action,7.2,26488847.0
USA,Billy Madison,1995,Comedy,6.4,26488734.0
Turkey,Günesi Gördüm,2009,Drama,6.5,26477630.0
Germany,Schlussmacher,2013,Comedy,5.6,26477012.0
USA,The Way Way Back,2013,Comedy,7.4,26474920.0
Mexico,Nosotros los Nobles,2013,Comedy,7.3,26433651.0
Russia,Ivan Tsarevich i Seryy Volk,2011,Animation,6.2,26420475.0
USA,The Gauntlet,1977,Action,6.4,26414658.0
USA,Mad Money,2008,Comedy,5.8,26412163.0
South Korea,Daensing kwin,2012,Comedy,6.3,26411266.0
USA,Center Stage,2000,Drama,6.7,26385941.0
USA,House Party,1990,Comedy,6.4,26385627.0
USA,I.Q.,1994,Comedy,6.2,26381221.0
USA,Only the Brave,2017,Action,7.6,26351322.0
USA,Houseguest,1995,Comedy,6.0,26325256.0
UK,Howards End,1992,Drama,7.4,26320080.0
USA,All About the Benjamins,2002,Action,5.9,26306533.0
USA,Wildcats,1986,Comedy,6.0,26285544.0
USA,Private Lessons,1981,Comedy,5.2,26279000.0
Japan,Orenji,2015,Comedy,7.0,26261536.0
USA,Necessary Roughness,1991,Comedy,6.2,26255594.0
Japan,Meitantei Conan: Tanteitachi no requiem,2006,Animation,7.1,26251232.0
USA,Aloha,2015,Comedy,5.4,26250020.0
China,Bei tou zou de na wu nian,2013,Romance,6.2,26249553.0
Canada,Missing Link,2019,Animation,6.7,26249469.0
South Korea,Kim Ji-young: Born 1982,2019,Drama,7.4,26247969.0
USA,Apollo 18,2011,Horror,5.2,26236153.0
China,One Night Surprise,2013,Comedy,5.4,26220159.0
USA,Protocol,1984,Comedy,5.5,26186631.0
South Korea,Tae-poong,2005,Action,5.8,26179656.0
USA,The Whole Ten Yards,2004,Comedy,5.5,26170671.0
Japan,Aku no kyôten,2012,Horror,6.6,26167224.0
USA,Modern Problems,1981,Comedy,5.1,26154211.0
Czech Republic,The Zookeeper's Wife,2017,Biography,7.0,26152835.0
Finland,9 rota,2005,Action,7.1,26146165.0
USA,The Wizard of Oz,1939,Adventure,8.0,26142032.0
India,Badrinath Ki Dulhania,2017,Comedy,6.1,26134309.0
India,Badhaai ho,2018,Comedy,8.0,26125610.0
USA,Jacob's Ladder,1990,Drama,7.5,26118851.0
USA,Top Five,2014,Comedy,6.4,26117471.0
South Korea,Akinjeon,2019,Action,6.9,26104804.0
UK,An Education,2009,Drama,7.3,26096852.0
USA,Saving Silverman,2001,Comedy,5.9,26086706.0
USA,Micki + Maude,1984,Comedy,6.0,26080861.0
USA,North Dallas Forty,1979,Comedy,7.0,26079312.0
India,Hichki,2018,Comedy,7.5,26055222.0
Japan,Purachina dêta,2013,Mystery,5.7,26052718.0
China,Gap tung kei hap,2014,Action,4.8,26033917.0
Japan,Kensatsu gawa no zainin,2018,Mystery,6.4,26033246.0
USA,The Elephant Man,1980,Biography,8.1,26020641.0
USA,Bratz,2007,Comedy,3.1,26013153.0
USA,A Prairie Home Companion,2006,Comedy,6.7,25986497.0
UK,The Light Between Oceans,2016,Drama,7.2,25975621.0
Hong Kong,Sai yau gei: Sin leui kei yun,1995,Action,8.0,25967935.0
China,Chun Kiu gau Chi Ming,2017,Romance,6.5,25959989.0
USA,White Boy Rick,2018,Crime,6.4,25957482.0
China,Wo de zao geng nv you,2014,Comedy,4.5,25948636.0
USA,Freaky Friday,1976,Comedy,6.3,25942000.0
USA,The Turning Point,1977,Drama,6.9,25933445.0
USA,The Cotton Club,1984,Crime,6.5,25928721.0
USA,"Paul, Apostle of Christ",2018,Adventure,6.6,25915966.0
USA,Innerspace,1987,Action,6.8,25893810.0
Mexico,Un gallo con muchos huevos,2015,Animation,5.8,25892561.0
USA,Rollerball,2002,Action,3.1,25852764.0
USA,Boys and Girls,2000,Comedy,5.4,25850615.0
UK,Shadowlands,1993,Biography,7.3,25842377.0
Turkey,Dügün Dernek 2: Sünnet,2015,Comedy,6.4,25836668.0
USA,From Dusk Till Dawn,1996,Action,7.2,25836616.0
USA,The Alamo,2004,Drama,6.0,25819961.0
China,Ji zhan,2013,Action,7.2,25816154.0
USA,Betrayed,1988,Crime,6.3,25816139.0
France,De rouille et d'os,2012,Drama,7.5,25807712.0
USA,Fair Game,2010,Biography,6.8,25806953.0
USA,Murder at 1600,1997,Action,6.1,25804707.0
USA,Our Idiot Brother,2011,Comedy,6.4,25804448.0
USA,Candyman,1992,Horror,6.6,25794159.0
South Korea,Bak-su-geon-dal,2013,Comedy,6.2,25774679.0
USA,The Last Dragon,1985,Action,6.9,25754284.0
UK,RocknRolla,2008,Action,7.3,25740863.0
USA,The Outsiders,1983,Crime,7.1,25697647.0
USA,Other People's Money,1991,Comedy,6.2,25682090.0
Japan,"Uchiage hanabi, shita kara miru ka? Yoko kara miru ka?",2017,Animation,5.5,25672406.0
Spain,Campeones,2018,Comedy,7.3,25664315.0
France,Coco,2009,Comedy,3.3,25661127.0
UK,Emma.,2020,Comedy,6.7,25659965.0
Italy,Natale a Miami,2005,Comedy,4.0,25643184.0
USA,Agnes of God,1985,Drama,6.6,25627836.0
France,La rafle,2010,Drama,7.1,25623521.0
USA,Jonah: A VeggieTales Movie,2002,Animation,6.5,25621297.0
USA,Can't Hardly Wait,1998,Comedy,6.5,25605015.0
USA,Father Figures,2017,Comedy,5.5,25601244.0
Germany,"Love, Rosie",2014,Comedy,7.2,25574387.0
China,Lü de shui,2016,Comedy,7.4,25537759.0
USA,Funny Farm,1988,Comedy,6.2,25537221.0
USA,The Muppets Take Manhattan,1984,Adventure,6.9,25534703.0
USA,Halloween II,1981,Horror,6.5,25533818.0
Tunisia,Anonymes,2009,Drama,6.3,25529525.0
USA,Only When I Laugh,1981,Comedy,6.4,25524778.0
Germany,Er ist wieder da,2015,Comedy,7.1,25513752.0
USA,A Nightmare on Elm Street,1984,Horror,7.5,25504513.0
USA,Mimic,1997,Horror,5.9,25480490.0
France,My Father the Hero,1994,Comedy,5.5,25479558.0
USA,Escape from L.A.,1996,Action,5.8,25477365.0
Italy,La tigre e la neve,2005,Comedy,7.1,25460023.0
USA,Grindhouse,2007,Action,7.5,25422088.0
USA,And So It Goes,2014,Comedy,5.8,25419147.0
USA,Tin Men,1987,Comedy,6.6,25411386.0
USA,Desperado,1995,Action,7.2,25405445.0
France,Money,2017,Thriller,6.6,25403753.0
Brazil,De Pernas pro Ar 2,2012,Comedy,5.8,25402893.0
USA,The Hitcher,2007,Crime,5.6,25399945.0
Ireland,In America,2002,Drama,7.7,25382911.0
South Korea,Geugeotmani Nae Sesang,2018,Comedy,7.5,25375866.0
USA,In Love and War,1996,Biography,6.0,25372294.0
Japan,Doraemon: Nobita to Buriki no rabirinsu,1993,Animation,6.9,25367941.0
France,Les profs 2,2015,Comedy,4.5,25364150.0
Italy,Natale in Sudafrica,2010,Comedy,3.4,25362517.0
USA,A Haunted House 2,2014,Comedy,4.7,25358716.0
France,Je vous trouve très beau,2005,Comedy,6.7,25329576.0
USA,Heartburn,1986,Comedy,6.1,25314189.0
USA,The Woman in Red,1984,Comedy,6.0,25308147.0
UK,The Last Legion,2007,Action,5.4,25303038.0
Japan,Nada sô sô,2006,Drama,6.7,25300338.0
China,Chen mo de zheng ren,2019,Action,5.6,25293853.0
USA,Enough Said,2013,Comedy,7.0,25288872.0
USA,Corky Romano,2001,Comedy,4.7,25272752.0
Italy,"Il buono, il brutto, il cattivo",1966,Western,8.8,25252481.0
USA,Escape from New York,1981,Action,7.2,25244626.0
USA,Fallen,1998,Action,7.0,25232289.0
India,Kabhi Alvida Naa Kehna,2006,Drama,6.1,25229168.0
USA,North Country,2005,Drama,7.3,25211175.0
USA,Black Widow,1987,Crime,6.3,25205460.0
USA,Don't Tell Mom the Babysitter's Dead,1991,Comedy,6.3,25196249.0
Mexico,Biutiful,2010,Drama,7.5,25147786.0
USA,The Morning After,1986,Crime,6.0,25147055.0
USA,Fly Away Home,1996,Adventure,6.8,25143818.0
Japan,Tsurugidake: Ten no ki,2009,Adventure,6.7,25134437.0
France,Le hérisson,2009,Drama,7.4,25132462.0
France,De l'autre côté du périph,2012,Action,5.8,25109572.0
USA,The Cutting Edge,1992,Comedy,6.9,25105517.0
USA,Midnight in the Garden of Good and Evil,1997,Crime,6.6,25105255.0
USA,Only the Lonely,1991,Comedy,6.4,25092802.0
Canada,Race,2016,Biography,7.1,25070261.0
USA,Navy Seals,1990,Action,5.6,25069101.0
USA,Moscow on the Hudson,1984,Comedy,6.5,25068724.0
USA,The Wood,1999,Comedy,7.0,25059640.0
USA,Wyatt Earp,1994,Adventure,6.7,25052000.0
France,The Last Exorcism Part II,2013,Horror,4.0,25051865.0
USA,Before the Devil Knows You're Dead,2007,Crime,7.3,25038466.0
USA,Free State of Jones,2016,Action,6.9,25035950.0
Japan,Doraemon: Nobita to Ginga ekusupuresu,1996,Animation,6.8,25031120.0
Russia,Yolki,2010,Comedy,6.2,25030264.0
USA,Ernest Goes to Jail,1990,Comedy,5.4,25029569.0
USA,Cocoon: The Return,1988,Adventure,5.5,25024919.0
USA,Kingpin,1996,Comedy,6.9,25023434.0
USA,Little Man Tate,1991,Drama,6.6,25010896.0
Hong Kong,Da Shang Hai,2012,Action,6.6,25009914.0
USA,Georgia Rule,2007,Comedy,5.8,25000167.0
USA,Whiskey Tango Foxtrot,2016,Biography,6.6,24972139.0
USA,A Single Man,2009,Drama,7.6,24964890.0
South Korea,Jibeuro,2002,Drama,7.8,24952738.0
USA,Invasion of the Body Snatchers,1978,Horror,7.4,24946533.0
USA,Pure Luck,1991,Comedy,5.9,24941969.0
USA,Fright Night,1985,Fantasy,7.1,24922237.0
South Korea,Oechul,2005,Drama,6.7,24873159.0
China,Qi yue yu an sheng,2016,Drama,7.4,24864375.0
USA,Booksmart,2019,Comedy,7.2,24863452.0
USA,Seed of Chucky,2004,Comedy,4.8,24829644.0
USA,Quiz Show,1994,Biography,7.5,24822619.0
USA,The Craft,1996,Drama,6.4,24819936.0
Hong Kong,Mai sing,2015,Action,5.7,24817852.0
Germany,Das Wunder von Bern,2003,Drama,6.7,24816394.0
UK,From Russia with Love,1963,Action,7.4,24808046.0
France,Elle s'appelait Sarah,2010,Drama,7.5,24792815.0
Turkey,Eyyvah Eyvah 2,2011,Comedy,6.6,24792348.0
USA,The Man Without a Face,1993,Drama,6.7,24760338.0
USA,"Sex, Lies, and Videotape",1989,Drama,7.2,24741667.0
USA,Big Miracle,2012,Biography,6.5,24740061.0
USA,Lottery Ticket,2010,Comedy,5.0,24719879.0
UK,Bride & Prejudice,2004,Comedy,6.1,24716440.0
Japan,Kaiji: Jinsei gyakuten gêmu,2009,Drama,6.5,24709016.0
India,Super 30,2019,Biography,8.0,24701637.0
Canada,The Shipping News,2001,Drama,6.7,24690441.0
USA,Summer Rental,1985,Comedy,6.3,24689703.0
China,Du zhan,2012,Action,7.0,24676341.0
USA,Operation Dumbo Drop,1995,Action,5.1,24670346.0
USA,Punch-Drunk Love,2002,Comedy,7.3,24665649.0
Italy,La grande bellezza,2013,Drama,7.8,24663082.0
Japan,Raiâ gêmu: Za fainaru sutêji,2010,Drama,7.2,24658706.0
USA,The Other Side of Midnight,1977,Drama,6.2,24652021.0
UK,The Death of Stalin,2017,Comedy,7.2,24646055.0
Japan,Kaguyahime no monogatari,2013,Animation,8.0,24638337.0
USA,Sparkle,2012,Drama,5.7,24637800.0
France,Les infidèles,2012,Comedy,5.3,24629152.0
Spain,Atrapa la bandera,2015,Animation,5.9,24604331.0
France,Babysitting 2,2015,Comedy,6.4,24563629.0
Japan,Raiâ gêmu: Saisei,2012,Drama,6.5,24557172.0
USA,Joe Somebody,2001,Comedy,5.5,24516772.0
Belgium,Podium,2004,Comedy,6.3,24511116.0
India,Race,2008,Action,6.7,24503269.0
USA,The Corruptor,1999,Action,6.1,24493601.0
USA,God's Not Dead 2,2016,Drama,4.4,24487848.0
USA,School for Scoundrels,2006,Comedy,5.9,24470583.0
UK,The Emerald Forest,1985,Action,6.9,24468550.0
USA,Sling Blade,1996,Drama,8.0,24444121.0
USA,Lucky Lady,1975,Comedy,5.3,24441725.0
Japan,8-nengoshi no hanayome,2017,Drama,7.1,24425963.0
UK,Stan & Ollie,2018,Biography,7.2,24420923.0
USA,Down to You,2000,Comedy,5.0,24419914.0
Brazil,Se Eu Fosse Você 2,2009,Comedy,5.6,24415116.0
USA,A Thousand Words,2012,Comedy,5.9,24397992.0
Japan,Meitantei Conan: Bekâ Sutorîto no bôrei,2002,Animation,7.8,24387667.0
USA,The Next Best Thing,2000,Comedy,4.7,24362772.0
USA,Dolores Claiborne,1995,Crime,7.4,24361867.0
South Korea,Manyeo,2018,Action,7.1,24343708.0
Japan,Meitantei Conan: Meikyuu no crossroad,2003,Animation,7.1,24342320.0
USA,Renaissance Man,1994,Comedy,6.2,24332324.0
Germany,Nirgendwo in Afrika,2001,Biography,7.5,24322180.0
China,Skyfire,2019,Action,5.2,24288863.0
France,Tanguy,2001,Comedy,6.4,24273604.0
USA,Lionheart,1990,Action,6.2,24271196.0
USA,Jackie,2016,Biography,6.7,24270399.0
USA,Bronco Billy,1980,Action,6.1,24265659.0
UK,Trance,2013,Crime,6.9,24261569.0
South Korea,Tam jeong 2,2018,Comedy,6.5,24243825.0
France,Camping 3,2016,Comedy,4.3,24224579.0
India,Jolly LLB 2,2017,Comedy,7.2,24214186.0
USA,The Gunman,2015,Action,5.8,24177137.0
Switzerland,The Railway Man,2013,Biography,7.1,24174885.0
USA,The Way Back,2010,Adventure,7.3,24172201.0
USA,Iron Eagle,1986,Action,5.5,24159872.0
USA,Dead Presidents,1995,Action,6.9,24147179.0
UK,The Guru,2002,Comedy,5.3,24128852.0
USA,The Founder,2016,Biography,7.2,24121245.0
China,Tao chu sheng tian,2013,Action,5.7,24109886.0
India,Guru,2007,Biography,7.7,24108727.0
USA,Striking Distance,1993,Action,5.9,24107867.0
South Korea,Start-Up,2019,Comedy,6.2,24106579.0
USA,The Adventures of Huck Finn,1993,Adventure,6.2,24103594.0
USA,Bad Santa 2,2016,Comedy,5.6,24079268.0
USA,Spring Break,1983,Comedy,5.0,24071666.0
China,Yi ge ren de wu lin,2014,Action,6.5,24070765.0
USA,Body Heat,1981,Crime,7.4,24058838.0
Japan,Boku no hatsukoi wo kimi ni sasagu,2009,Drama,7.2,24051386.0
USA,Virtuosity,1995,Action,5.6,24047675.0
Spain,La gran aventura de Mortadelo y Filemón,2003,Action,5.2,24035064.0
South Korea,Ai kaen seupikeu,2017,Comedy,7.4,24024444.0
Russia,Nasha Russia. Yaytsa sudby,2010,Comedy,4.6,24022125.0
Spain,Tengo ganas de ti,2012,Drama,6.9,24016152.0
India,Partner,2007,Comedy,5.7,23968620.0
France,Disco,2008,Comedy,4.2,23963065.0
Germany,Türkisch für Anfänger,2012,Adventure,5.8,23957607.0
Italy,Ti amo in tutte le lingue del mondo,2005,Comedy,5.8,23941317.0
UK,Stormbreaker,2006,Action,5.1,23937870.0
USA,Harold & Kumar Go to White Castle,2004,Adventure,7.1,23936908.0
USA,25th Hour,2002,Drama,7.6,23932055.0
UK,Birth,2004,Drama,6.1,23925492.0
USA,Tom and Huck,1995,Adventure,5.5,23920048.0
Italy,Il mio miglior nemico,2006,Comedy,6.0,23919309.0
South Korea,Saekjeuk shigong,2002,Comedy,6.6,23915279.0
USA,Life as a House,2001,Drama,7.5,23903791.0
Japan,Meitantei Conan: Tengoku no countdown,2001,Animation,7.6,23895574.0
USA,American History X,1998,Drama,8.5,23875127.0
USA,The Flamingo Kid,1984,Comedy,6.2,23859382.0
South Korea,Gwi-hyang,2016,Drama,6.3,23857217.0
USA,Silence,2016,Drama,7.2,23834809.0
South Korea,Chinjeolhan geumjassi,2005,Crime,7.6,23834149.0
USA,Eight Crazy Nights,2002,Animation,5.4,23833131.0
USA,Wanderlust,2012,Comedy,5.6,23812816.0
India,Nallavanukku Nallavan,1984,Drama,6.9,23800000.0
Finland,Niko 2 - lentäjäveljekset,2012,Animation,5.7,23785681.0
Russia,Obitaemyy ostrov,2009,Action,5.1,23772559.0
USA,Dickie Roberts: Former Child Star,2003,Comedy,5.6,23769505.0
Australia,The Dressmaker,2015,Comedy,7.1,23762417.0
Japan,Meitantei Conan: Senritsu no furu sukoa,2008,Animation,6.8,23760176.0
USA,House of Wax,1953,Horror,7.1,23750000.0
Japan,Detoroito Metaru Shiti,2008,Comedy,6.7,23744571.0
Japan,Gekijouban Poketto monsutâ: Minna no Monogatari,2018,Animation,6.3,23740788.0
France,Les poupées russes,2005,Comedy,7.0,23727301.0
UK,In the Cut,2003,Mystery,5.3,23726793.0
UK,Santa Claus: The Movie,1985,Adventure,6.3,23717291.0
USA,Good Burger,1997,Comedy,5.7,23712993.0
China,Da Xiao Jiang Hu,2010,Comedy,4.0,23705022.0
Japan,Quill,2004,Drama,7.2,23697809.0
USA,Network,1976,Drama,8.1,23690757.0
USA,Sixteen Candles,1984,Comedy,7.1,23686027.0
USA,Some Kind of Hero,1982,Comedy,5.8,23671186.0
Australia,Mad Max 2,1981,Action,7.6,23667907.0
USA,The Best Years of Our Lives,1946,Drama,8.0,23656620.0
USA,Two of a Kind,1983,Comedy,4.8,23646952.0
USA,Anywhere But Here,1999,Comedy,6.2,23631929.0
USA,The Peanut Butter Falcon,2019,Comedy,7.6,23620709.0
China,Wan wu sheng zhang,2015,Drama,5.1,23620000.0
USA,The Glass House,2001,Crime,5.8,23619609.0
France,Nous finirons ensemble,2019,Comedy,6.4,23606903.0
USA,My Blue Heaven,1990,Comedy,6.3,23591472.0
USA,Hustle & Flow,2005,Crime,7.3,23563727.0
USA,Oscar,1991,Comedy,6.6,23562716.0
USA,No manches Frida,2016,Comedy,5.5,23540937.0
USA,Biker Boyz,2003,Action,4.7,23510621.0
USA,Ernest Goes to Camp,1987,Comedy,5.5,23509382.0
USA,Hoodlum,1997,Crime,6.3,23499102.0
Spain,Alatriste,2006,Adventure,6.1,23482607.0
USA,Henry & June,1990,Biography,6.3,23472449.0
USA,Wish Upon,2017,Drama,5.0,23468586.0
Turkey,Kurtlar Vadisi: Irak,2006,Action,5.8,23465471.0
Italy,Youth,2015,Comedy,7.3,23459358.0
USA,Boys on the Side,1995,Comedy,6.5,23440188.0
USA,Tomcats,2001,Comedy,5.4,23430766.0
Turkey,Five Minarets in New York,2010,Action,5.8,23423390.0
Japan,Ossan's Love: Love or Dead,2019,Comedy,5.9,23422744.0
China,Zhi you yun zhi dao,2019,Drama,5.9,23410836.0
USA,Raging Bull,1980,Biography,8.2,23402427.0
Ireland,Circle of Friends,1995,Drama,6.6,23389975.0
USA,The Avengers,1998,Action,3.8,23384939.0
Japan,Kamisama no karute,2011,Drama,6.0,23384864.0
USA,Leap of Faith,1992,Comedy,6.1,23369283.0
USA,Antwone Fisher,2002,Biography,7.3,23367586.0
USA,Detroit,2017,Crime,7.3,23355100.0
USA,The Usual Suspects,1995,Crime,8.5,23341568.0
France,Paris,2008,Comedy,6.8,23328518.0
Mexico,La misma luna,2007,Adventure,7.3,23313049.0
USA,Warrior,2011,Action,8.2,23308615.0
France,Ali G Indahouse,2002,Comedy,6.2,23280529.0
USA,Toys,1992,Adventure,5.1,23278931.0
USA,Benny & Joon,1993,Comedy,7.2,23261580.0
USA,The Players Club,1998,Comedy,5.9,23261485.0
Japan,Yomigaeri,2002,Fantasy,6.6,23259542.0
Italy,Scusa ma ti chiamo amore,2008,Romance,6.2,23249815.0
South Korea,Gonggongui jeog 2,2005,Action,6.0,23248003.0
USA,The Remains of the Day,1993,Drama,7.8,23237911.0
USA,For the Boys,1991,Comedy,6.4,23202444.0
USA,Super Troopers,2001,Comedy,7.1,23182223.0
USA,The Iron Giant,1999,Animation,8.0,23180087.0
USA,Triple 9,2016,Action,6.3,23177948.0
China,Rock Dog,2016,Animation,5.9,23157646.0
UK,The Guernsey Literary and Potato Peel Pie Society,2018,Drama,7.4,23148937.0
USA,Air Bud,1997,Comedy,5.2,23144499.0
Japan,Inori no maku ga oriru toki,2018,Mystery,7.1,23141505.0
USA,Captain Fantastic,2016,Comedy,7.9,23123592.0
USA,Being John Malkovich,1999,Comedy,7.7,23106667.0
USA,The Choice,2016,Drama,6.6,23079932.0
USA,Blue Chips,1994,Drama,6.2,23070663.0
USA,Snow Falling on Cedars,1999,Drama,6.7,23049593.0
France,"OSS 117: Le Caire, nid d'espions",2006,Action,7.1,23041621.0
Italy,"La leggenda di Al, John e Jack",2002,Comedy,6.4,23039985.0
USA,The Program,1993,Action,6.5,23032565.0
USA,Confidence,2003,Crime,6.7,23014206.0
China,Shan zha shu zhi lian,2010,Drama,7.1,23004431.0
USA,The Russia House,1990,Drama,6.1,22997992.0
China,Gong fu guan lan,2008,Comedy,4.9,22994406.0
India,Padmaavat,2018,Drama,7.0,22991060.0
USA,Aquamarine,2006,Comedy,5.3,22989957.0
USA,Imagine That,2009,Comedy,5.6,22985194.0
France,Domino,2005,Action,5.9,22984628.0
Japan,Hotaru no hikari,2012,Drama,5.8,22975341.0
Algeria,Indigènes,2006,Action,7.0,22963701.0
USA,A Perfect Getaway,2009,Drama,6.5,22955544.0
France,Radin!,2016,Comedy,5.8,22955486.0
USA,D3: The Mighty Ducks,1996,Action,5.5,22955097.0
Germany,The Human Stain,2003,Drama,6.2,22954068.0
Japan,Meitantei Conan: Seiki matsu no majutsushi,1999,Animation,7.5,22951145.0
USA,Armored,2009,Action,5.7,22942221.0
USA,Young Adult,2011,Comedy,6.2,22939027.0
Canada,The Care Bears Movie,1985,Animation,5.7,22934622.0
Japan,Andarushia: Megami no houfuku,2011,Action,6.1,22929221.0
Iran,Jodaeiye Nader az Simin,2011,Drama,8.3,22926076.0
Japan,Hotto rôdo,2014,Drama,5.9,22916313.0
USA,Rounders,1998,Crime,7.3,22912409.0
USA,Crimes of the Heart,1986,Comedy,6.4,22905522.0
Ireland,The Wind that Shakes the Barley,2006,Drama,7.5,22903165.0
China,Peng ran xing dong,2015,Romance,5.2,22894140.0
USA,Rudy,1993,Biography,7.5,22881563.0
UK,Dorian Gray,2009,Drama,6.3,22873653.0
France,Enfin veuve,2007,Comedy,5.4,22872698.0
USA,Baggage Claim,2013,Comedy,5.1,22871096.0
USA,Guilty as Sin,1993,Crime,5.6,22866222.0
Italy,Qualunquemente,2011,Comedy,6.1,22862029.0
USA,Beloved,1998,Drama,6.0,22852487.0
USA,Dr. T & the Women,2000,Comedy,4.6,22844291.0
UK,Kon-Tiki,2012,Adventure,7.2,22842887.0
China,Xia You Qiao Mu,2016,Drama,5.2,22819702.0
USA,The Ruins,2008,Fantasy,5.8,22818256.0
USA,Missing in Action,1984,Action,5.5,22812411.0
UK,On Her Majesty's Secret Service,1969,Action,6.7,22787885.0
France,Persepolis,2007,Animation,8.0,22783978.0
Germany,Ooops! Noah Is Gone...,2015,Animation,5.8,22783699.0
China,Shen tan Pu Song Ling,2019,Action,4.9,22774256.0
USA,Frankie and Johnny,1991,Comedy,6.8,22773535.0
Japan,Doraemon: Nobita no Dorabian Naito,1991,Animation,6.9,22765690.0
USA,Convoy,1978,Action,6.4,22765081.0
USA,Xanadu,1980,Fantasy,5.2,22762571.0
China,Fei fan ren wu,2017,Action,6.2,22757764.0
USA,The Juror,1996,Crime,5.7,22754725.0
