country,original_title,year,genre,avg_vote,worlwide_gross_income
USA,Spider-Man: Into the Spider-Verse,2018,Animation,8.4,375540831.0
Australia,Mad Max: Fury Road,2015,Action,8.1,375225175.0
USA,Shark Tale,2004,Animation,6.0,374583879.0
USA,Once Upon a Time... in Hollywood,2019,Comedy,7.6,374343626.0
USA,What Women Want,2000,Comedy,6.4,374111707.0
USA,The Adventures of Tintin,2011,Animation,7.3,373993951.0
USA,Batman Begins,2005,Action,8.2,373654966.0
USA,Penguins of Madagascar,2014,Animation,6.7,373515621.0
USA,X-Men Origins: Wolverine,2009,Action,6.6,373062864.0
UK,The Golden Compass,2007,Adventure,6.1,372234864.0
USA,Fifty Shades Freed,2018,Drama,4.5,371985018.0
USA,Hitch,2005,Comedy,6.6,371594210.0
USA,Terminator Salvation,2009,Action,6.5,371353001.0
USA,Captain America: The First Avenger,2011,Action,6.9,370569774.0
USA,Edge of Tomorrow,2014,Action,7.9,370541256.0
USA,There's Something About Mary,1998,Comedy,7.1,369884651.0
USA,Gone Girl,2014,Drama,8.1,369330363.0
USA,The Fugitive,1993,Action,7.8,368875760.0
USA,Jurassic Park III,2001,Action,5.9,368780809.0
Canada,My Big Fat Greek Wedding,2002,Comedy,6.5,368744044.0
China,Xi hong shi shou fu,2018,Comedy,6.1,366961907.0
USA,Die Hard: With a Vengeance,1995,Action,7.6,366236538.0
USA,Shazam!,2019,Action,7.1,365971656.0
USA,The Nun,2018,Horror,5.3,365551694.0
USA,Alvin and the Chipmunks,2007,Animation,5.2,365352546.0
USA,Home Alone 2: Lost in New York,1992,Adventure,6.8,365154932.0
UK,Notting Hill,1999,Comedy,7.1,363970211.0
USA,A Bug's Life,1998,Animation,7.2,363258859.0
UK,Night at the Museum: Secret of the Tomb,2014,Adventure,6.2,363204635.0
USA,Ocean's Twelve,2004,Crime,6.5,362744280.0
USA,Planet of the Apes,2001,Action,5.7,362211740.0
USA,The Hangover Part III,2013,Comedy,5.8,362000072.0
