imdb_title_id,original_title,year,genre,country,production_company,duration,votes,budget,usa_gross_income,worldwide_gross_income,rating,metascore
tt0947798,Swan,2010,Thriller,USA,Pictures,108,686153,13000000,106954678,329398046,8,79
tt0063442,Apes,1968,Sci-Fi,USA,Productions,112,162872,5800000,32589624,32599045,8,79
tt0094226,Untouchables,1987,Thriller,USA,Pictures,119,272868,25000000,76270454,76270454,7.9,79
tt0964517,Fighter,2010,Sport,USA,Productions,116,334145,25000000,93617009,129190869,7.8,79
tt0064665,Cowboy,1969,Drama,USA,Productions,113,98735,3600000,44785053,44801177,7.8,79
tt0857191,Visitor,2007,Drama,USA,Productions,104,41195,4000000,9427089,18197518,7.6,79
tt0077975,House,1978,Comedy,USA,Pictures,109,109994,3000000,141600000,141600000,7.5,79
tt0146882,Fidelity,2000,Music,USA,Pictures,113,165533,30000000,27287137,47126295,7.5,79
tt0086425,Endearment,1983,Drama,USA,Pictures,132,53767,8000000,108423489,108423489,7.4,79
tt0120855,Tarzan,1999,Family,USA,Pictures,88,198381,130000000,171091819,448191819,7.3,79
tt0084516,Poltergeist,1982,Thriller,USA,(MGM),114,139180,10700000,77142388,77142388,7.3,79
tt0117318,Flynt,1996,Drama,USA,Pictures,130,86540,36000000,20300385,20300385,7.3,79
tt0412019,Flowers,2005,Mystery,USA,Features,106,96903,10000000,13744960,47329961,7.2,79
tt1866249,Sessions,2012,Drama,USA,Pictures,95,40908,1000000,6002451,10656155,7.2,79
tt1228987,In,2010,Horror,USA,Films,116,112000,20000000,12134935,27093592,7.1,79
tt0418689,Fathers,2006,Drama,USA,DreamWorks,135,116024,90000000,33602376,65900249,7,79
tt4669986,Loving,2016,Romance,USA,Films,123,30764,9000000,7751969,12957265,7,79
tt0098621,Roses,1989,Romance,USA,Fox,116,47221,26000000,86888546,160188546,6.8,79
tt0091939,It,1986,Romance,USA,Filmworks,84,11071,175000,7137502,7137502,6.7,79
tt5503686,Hustlers,2019,Drama,USA,Pictures,110,76903,20000000,104963598,157563598,6.3,79
tt4154796,Endgame,2019,Drama,USA,Studios,181,754786,356000000,858373000,2797800564,8.4,78
tt1345836,Rises,2012,Adventure,USA,Bros.,164,1480582,250000000,448139099,1081133191,8.4,78
tt2948356,Zootopia,2016,Comedy,USA,Pictures,108,421174,150000000,341268248,1023789075,8,78
tt0088939,Purple,1985,Drama,USA,Entertainment,154,76504,15000000,98467863,98467863,7.8,78
tt0780504,Drive,2011,Drama,USA,FilmDistrict,100,558693,15000000,35061555,76976666,7.8,78
tt0097441,Glory,1989,History,USA,Pictures,122,118841,18000000,26979166,26979166,7.8,78
tt0373074,fu,2004,Fantasy,USA,Asia,99,124755,20000000,17108591,104882445,7.7,78
tt0443706,Zodiac,2007,Mystery,USA,Pictures,157,443791,65000000,33080084,84785914,7.7,78
tt0080339,Airplane!,1980,Comedy,USA,Pictures,88,208636,3500000,83453539,83453539,7.7,78
tt0417741,Prince,2009,Family,USA,Bros.,153,458080,250000000,302305431,934408366,7.6,78
tt0106677,Confused,1993,Comedy,USA,(I),102,161506,6900000,7993039,7993039,7.6,78
tt0095631,Run,1988,Crime,USA,Pictures,126,73433,30000000,38413606,81613606,7.5,78
tt0072271,Massacre,1974,Horror,USA,Vortex,83,132386,300000,30859000,30859000,7.5,78
tt0218839,Show,2000,Comedy,USA,Entertainment,90,54465,10000000,18715392,20789556,7.4,78
tt0116905,Star,1996,Mystery,USA,Pictures,135,27540,5000000,12408986,12408986,7.4,78
tt0083190,Thief,1981,Drama,USA,Productions,123,24314,5500000,11492915,11492915,7.4,78
tt2334873,Jasmine,2013,Drama,USA,Productions,98,189028,18000000,33405481,99104804,7.3,78
tt0048280,Tramp,1955,Comedy,USA,Studios,76,119585,4000000,93602326,93933394,7.3,78
tt0929632,Precious,2009,Drama,USA,Lionsgate,110,104158,10000000,47566524,63649529,7.3,78
tt0087892,India,1984,History,USA,Films,164,16653,16000000,27187653,27201244,7.3,78
tt0272338,Love,2002,Romance,USA,Cinema,95,144254,25000000,17844216,24665649,7.3,78
tt0071115,Anymore,1974,Romance,USA,Bros.,112,20867,1800000,18600000,18600000,7.3,78
tt0119080,Bayou,1997,Drama,USA,Pictures,109,8461,6000000,14842388,14842388,7.3,78
tt0111257,Speed,1994,Thriller,USA,Company,116,322275,30000000,121248145,350448145,7.2,78
tt0077280,Story,1978,Music,USA,Innovisions,114,8064,1200000,14363400,14363400,7.2,78
tt2390361,Said,2013,Romance,USA,Pictures,93,58016,8000000,17550872,25288872,7,78
tt4971344,Sisters,2018,Western,USA,Productions,122,49883,38000000,3143056,13143056,7,78
tt0067588,Me,1971,Thriller,USA,Company,102,24992,725000,10600000,10600000,7,78
tt0091877,People,1986,Crime,USA,Pictures,93,25348,13000000,71624879,71624879,6.9,78
tt0116683,Peach,1996,Family,USA,Pictures,79,58982,38000000,28946127,28946127,6.7,78
tt0112857,Dress,1995,Mystery,USA,Pictures,102,17110,27000000,16140822,16140822,6.7,78
tt1212428,Z,2016,History,USA,Head,141,76112,30000000,8580410,19263938,6.6,78
tt0102175,Fever,1991,Romance,USA,Pictures,132,16709,14000000,32482682,43882682,6.5,78
tt0250323,End,2001,Mystery,USA,Films,101,10923,3000000,8823109,10031529,6.5,78
tt0099615,Freshman,1990,Crime,USA,Pictures,102,18407,12000000,21460601,21460601,6.4,78
tt6439020,Copperfield,2019,Drama,USA,4,119,7009,15600000,570001,10505458,6.4,78
tt4695012,Night,2017,Mystery,USA,Kingdom,91,80976,5000000,13985117,19735344,6.2,78
tt0066921,Orange,1971,Sci-Fi,USA,Bros.,136,740301,2200000,26589355,26903440,8.3,77
tt3315342,Logan,2017,Sci-Fi,USA,Fox,137,627493,97000000,226277068,619021436,8.1,77
tt0093779,Bride,1987,Fantasy,USA,Communications,98,385237,16000000,30857814,30882762,8.1,77
tt0175880,Magnolia,1999,Drama,USA,Company,188,284687,37000000,22455976,48451803,8,77
tt0097123,Misdemeanors,1989,Drama,USA,Productions,104,53574,19000000,18254702,18254702,7.9,77
tt0079417,Kramer,1979,Drama,USA,Pictures,105,129690,8000000,106260000,106260000,7.8,77
tt0084855,Verdict,1982,Drama,USA,Fox,129,35076,16000000,53977250,53993738,7.7,77
tt0112384,13,1995,History,USA,Pictures,140,262254,52000000,173837933,355237933,7.6,77
tt1315981,Man,2009,Romance,USA,Productions,99,104394,7000000,9176000,24964890,7.6,77
tt0082694,2,1981,Sci-Fi,USA,Productions,96,163536,3000000,23667907,23667907,7.6,77
tt0338751,Aviator,2004,Drama,USA,Pass,170,327091,110000000,102610330,213719942,7.5,77
tt0077248,Collar,1978,Drama,USA,Company,114,6953,1700000,6521083,6521083,7.5,77
tt3040964,Book,2016,Family,USA,Entertainment,106,254949,175000000,364001123,966552003,7.4,77
tt0419294,Estrada,2005,Drama,USA,EuropaCorp,121,38364,15000000,5027684,12045362,7.4,77
tt2277860,Dory,2016,Comedy,USA,Studios,97,233601,200000000,486295561,1028570889,7.3,77
tt0116695,Maguire,1996,Romance,USA,Pictures,139,238398,50000000,153952592,273552592,7.3,77
tt5390504,Detroit,2017,History,USA,Pictures,143,46350,34000000,16790139,23355100,7.3,77
tt0120623,Life,1998,Comedy,USA,Studios,95,261431,120000000,162798565,363258859,7.2,77
tt0070707,Sleeper,1973,Sci-Fi,USA,Productions,89,39252,2000000,18344729,18344729,7.2,77
tt0086567,WarGames,1983,Drama,USA,Artists,114,88505,12000000,79567667,79567667,7.1,77
tt0093640,Out,1987,Drama,USA,Pictures,114,34513,15000000,35509515,35509515,7.1,77
tt0080437,One,1980,War,USA,Productions,113,18356,4500000,7206220,7206823,7.1,77
tt0102494,Idaho,1991,Drama,USA,Cinema,104,49234,2500000,6401336,6401336,7.1,77
tt0090863,Money,1986,Sport,USA,Pictures,119,72856,13800000,52293982,52293982,7,77
tt0183659,Pollock,2000,Drama,USA,Brant-Allen,122,26571,6000000,8598593,10994533,7,77
tt0120402,Gold,1997,Drama,USA,Estetico,113,6668,2700000,9161691,9161691,7,77
tt0081568,Man,1980,Drama,USA,Productions,131,8529,3500000,7063886,7063886,7,77
tt0095270,Hairspray,1988,Family,USA,Cinema,92,19438,2000000,6671108,6671108,6.9,77
tt0076666,Fever,1977,Music,USA,Pictures,118,69620,3000000,94213184,237113184,6.8,77
tt4270516,Grandma,2015,Drama,USA,Field,79,14428,600000,6980524,7205073,6.7,77
tt0115956,Fire,1996,Mystery,USA,Pictures,116,49330,46000000,59031057,100860818,6.6,77
tt1951181,Immigrant,2013,Romance,USA,Entertainment,120,29214,16000000,2025328,5952884,6.6,77
tt5592248,Beguiled,2017,Thriller,USA,Zoetrope,93,50166,10500000,10709995,27869129,6.3,77
tt1791682,Young,2014,Mystery,USA,Films,97,45905,10000000,7587485,21075757,6.3,77
tt0093058,Jacket,1987,War,USA,Natant,116,658175,30000000,46357676,46357676,8.3,76
tt0113277,Heat,1995,Thriller,USA,Bros.,170,562387,60000000,67436818,187436818,8.2,76
tt2015381,Galaxy,2014,Comedy,USA,Studios,121,1023350,170000000,333176600,772791156,8,76
tt2872718,Nightcrawler,2014,Thriller,USA,Films,117,449212,8500000,32381217,47398992,7.9,76
tt0365748,Dead,2004,Horror,USA,Pictures,99,502322,4000000,13542874,30081497,7.9,76
tt1646971,2,2014,Adventure,USA,Animation,102,298406,145000000,177002924,621537519,7.8,76
tt0101507,Hood,1991,Drama,USA,Pictures,112,121709,6500000,57504069,57529070,7.8,76
tt0119008,Brasco,1997,Drama,USA,Entertainment,127,271973,35000000,41909762,124909762,7.7,76
tt0104691,Mohicans,1992,Drama,USA,Entertainment,112,145731,40000000,75505856,75505856,7.7,76
tt0381849,Yuma,2007,Drama,USA,Lionsgate,122,284071,55000000,53606916,70016220,7.7,76
tt1022603,Summer,2009,Romance,USA,Pictures,95,464451,7500000,32391374,60722734,7.7,76
tt0090756,Velvet,1986,Thriller,USA,(DEG),120,176459,6000000,8551228,8617408,7.7,76
tt0454848,Man,2006,Mystery,USA,Pictures,129,331649,45000000,88513495,186003591,7.6,76
tt0829482,Superbad,2007,Comedy,USA,Pictures,113,511454,20000000,121463226,170812526,7.6,76
tt0098635,Sally...,1989,Romance,USA,Entertainment,95,190677,16000000,93075866,93083444,7.6,76
tt0095705,Squad!,1988,Crime,USA,Pictures,85,148550,12000000,78756177,78756177,7.6,76
